Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 47.7156)	(2, 49.3803)	(3, 50.449999999999996)	(4, 50.8829)	(5, 50.989700000000006)	(6, 50.5062)	(7, 50.7912)	(8, 50.462399999999995)	(9, 50.1047)	(10, 50.1092)	(11, 49.8224)	(12, 49.818200000000004)	(13, 50.187599999999996)	(14, 50.2185)	(15, 50.1426)	(16, 50.3428)	(17, 50.2782)	(18, 49.752)	(19, 49.9958)	(20, 49.7125)	(21, 49.6665)	(22, 50.3708)	(23, 50.2305)	(24, 49.9164)	(25, 49.992)	(26, 50.2734)	(27, 49.8068)	(28, 50.097899999999996)	(29, 49.8377)	(30, 49.8563)	(31, 50.065000000000005)	(32, 50.0403)	(33, 50.0758)	(34, 50.1427)	(35, 49.8609)	(36, 49.6845)	(37, 50.3184)	(38, 50.2606)	(39, 49.9593)	(40, 50.3263)	(41, 49.9448)	(42, 49.8016)	(43, 50.0445)	(44, 49.849199999999996)	(45, 49.9366)	(46, 50.108799999999995)	(47, 50.078)	(48, 49.9497)	(49, 50.0575)	(50, 49.7743)	(51, 49.6387)	(52, 49.9707)	(53, 49.716)	(54, 49.510799999999996)	(55, 49.8627)	(56, 49.751)	(57, 49.4509)	(58, 49.8407)	(59, 49.783699999999996)	(60, 49.5736)	(61, 49.8541)	(62, 49.7544)	(63, 49.5811)
SRR1039509	(1, 47.2831)	(2, 49.2797)	(3, 49.9639)	(4, 50.7469)	(5, 50.914)	(6, 50.055899999999994)	(7, 50.6542)	(8, 50.037200000000006)	(9, 49.9741)	(10, 49.6724)	(11, 49.341)	(12, 49.6725)	(13, 49.7111)	(14, 50.0341)	(15, 49.9814)	(16, 49.876)	(17, 50.0768)	(18, 49.331199999999995)	(19, 49.8594)	(20, 49.313)	(21, 49.5654)	(22, 49.698100000000004)	(23, 50.029)	(24, 49.4505)	(25, 50.2004)	(26, 50.251000000000005)	(27, 49.330200000000005)	(28, 49.7052)	(29, 49.3575)	(30, 49.7207)	(31, 49.599900000000005)	(32, 49.913999999999994)	(33, 49.9622)	(34, 49.6814)	(35, 49.4291)	(36, 49.2726)	(37, 50.1764)	(38, 50.1733)	(39, 49.8033)	(40, 50.23800000000001)	(41, 49.462)	(42, 49.6701)	(43, 49.5937)	(44, 49.4372)	(45, 49.7508)	(46, 49.6851)	(47, 49.9655)	(48, 49.7707)	(49, 49.5791)	(50, 49.2971)	(51, 49.4946)	(52, 49.493900000000004)	(53, 49.2739)	(54, 49.1363)	(55, 49.4235)	(56, 49.280699999999996)	(57, 49.0267)	(58, 49.487500000000004)	(59, 49.3308)	(60, 49.162499999999994)	(61, 49.479299999999995)	(62, 49.3251)	(63, 49.2047)
SRR1039512	(1, 47.423300000000005)	(2, 48.4933)	(3, 49.6768)	(4, 50.3199)	(5, 49.953199999999995)	(6, 49.890699999999995)	(7, 50.3227)	(8, 49.7263)	(9, 49.6172)	(10, 49.9252)	(11, 49.3699)	(12, 49.3243)	(13, 50.124500000000005)	(14, 49.5119)	(15, 49.527100000000004)	(16, 50.200599999999994)	(17, 49.713)	(18, 49.6085)	(19, 50.03300000000001)	(20, 49.567899999999995)	(21, 49.3788)	(22, 50.155300000000004)	(23, 49.5741)	(24, 49.6794)	(25, 50.0517)	(26, 49.5157)	(27, 49.4442)	(28, 50.134299999999996)	(29, 49.4381)	(30, 49.4086)	(31, 49.9834)	(32, 49.3712)	(33, 49.54)	(34, 50.1031)	(35, 49.3853)	(36, 49.3911)	(37, 50.025)	(38, 49.445699999999995)	(39, 49.4632)	(40, 49.8884)	(41, 49.4149)	(42, 49.4107)	(43, 49.9222)	(44, 49.3063)	(45, 49.408)	(46, 49.9069)	(47, 49.3273)	(48, 49.3617)	(49, 49.9341)	(50, 49.3221)	(51, 49.242200000000004)	(52, 49.9374)	(53, 49.4226)	(54, 49.4071)	(55, 49.8553)	(56, 49.3834)	(57, 49.269400000000005)	(58, 49.876799999999996)	(59, 49.404900000000005)	(60, 49.3231)	(61, 49.8647)	(62, 49.425799999999995)	(63, 49.5699)
SRR1039513	(1, 46.2089)	(2, 47.4992)	(3, 48.6621)	(4, 49.206)	(5, 49.0272)	(6, 48.8966)	(7, 49.1678)	(8, 48.7474)	(9, 48.498799999999996)	(10, 48.6369)	(11, 48.2622)	(12, 48.1422)	(13, 48.8194)	(14, 48.4513)	(15, 48.3589)	(16, 48.9184)	(17, 48.6321)	(18, 48.3996)	(19, 48.6639)	(20, 48.3935)	(21, 48.1767)	(22, 48.9202)	(23, 48.509299999999996)	(24, 48.4928)	(25, 48.7809)	(26, 48.4858)	(27, 48.3286)	(28, 48.816900000000004)	(29, 48.3414)	(30, 48.2671)	(31, 48.6773)	(32, 48.3171)	(33, 48.3353)	(34, 48.7505)	(35, 48.3266)	(36, 48.2544)	(37, 48.789500000000004)	(38, 48.4295)	(39, 48.3075)	(40, 48.7101)	(41, 48.4032)	(42, 48.2476)	(43, 48.6765)	(44, 48.2829)	(45, 48.287)	(46, 48.6807)	(47, 48.2572)	(48, 48.2132)	(49, 48.7226)	(50, 48.248799999999996)	(51, 48.0653)	(52, 48.6462)	(53, 48.295500000000004)	(54, 48.2111)	(55, 48.573)	(56, 48.2999)	(57, 48.1425)	(58, 48.625600000000006)	(59, 48.289)	(60, 48.1729)	(61, 48.619299999999996)	(62, 48.3273)	(63, 48.3473)
SRR1039516	(1, 47.0636)	(2, 47.8664)	(3, 49.1146)	(4, 49.6921)	(5, 49.4792)	(6, 49.4231)	(7, 49.789899999999996)	(8, 49.2521)	(9, 49.1094)	(10, 49.556)	(11, 48.878)	(12, 48.487700000000004)	(13, 49.7856)	(14, 49.0316)	(15, 49.120799999999996)	(16, 49.7809)	(17, 49.1819)	(18, 49.2566)	(19, 49.528499999999994)	(20, 49.1652)	(21, 48.9687)	(22, 49.8337)	(23, 49.1404)	(24, 49.221599999999995)	(25, 49.698)	(26, 49.086800000000004)	(27, 49.138999999999996)	(28, 49.6988)	(29, 49.1601)	(30, 48.978899999999996)	(31, 49.646)	(32, 48.922)	(33, 49.265100000000004)	(34, 49.5867)	(35, 49.1276)	(36, 49.1062)	(37, 49.637)	(38, 49.0561)	(39, 49.074)	(40, 49.5967)	(41, 49.1229)	(42, 49.190400000000004)	(43, 49.7511)	(44, 48.9373)	(45, 49.151)	(46, 49.5525)	(47, 49.0287)	(48, 49.1243)	(49, 49.5968)	(50, 49.0974)	(51, 49.025999999999996)	(52, 49.8751)	(53, 49.0428)	(54, 49.1967)	(55, 49.5988)	(56, 49.063)	(57, 48.9232)	(58, 49.5616)	(59, 49.1987)	(60, 49.046)	(61, 49.721)	(62, 49.1159)	(63, 49.2584)
SRR1039517	(1, 47.268100000000004)	(2, 48.425000000000004)	(3, 49.5116)	(4, 50.132200000000005)	(5, 49.8289)	(6, 49.7399)	(7, 50.148199999999996)	(8, 49.5988)	(9, 49.4212)	(10, 49.7319)	(11, 49.241099999999996)	(12, 48.8484)	(13, 49.9403)	(14, 49.4052)	(15, 49.3189)	(16, 49.9896)	(17, 49.5549)	(18, 49.4573)	(19, 49.8046)	(20, 49.4226)	(21, 49.2047)	(22, 50.0124)	(23, 49.4832)	(24, 49.4842)	(25, 49.8998)	(26, 49.4587)	(27, 49.2906)	(28, 49.921)	(29, 49.3667)	(30, 49.268299999999996)	(31, 49.8865)	(32, 49.2919)	(33, 49.3875)	(34, 49.8262)	(35, 49.359700000000004)	(36, 49.257)	(37, 49.885200000000005)	(38, 49.4157)	(39, 49.2905)	(40, 49.7641)	(41, 49.3778)	(42, 49.32)	(43, 49.8236)	(44, 49.2883)	(45, 49.2938)	(46, 49.7879)	(47, 49.381)	(48, 49.2701)	(49, 49.8348)	(50, 49.327799999999996)	(51, 49.1434)	(52, 50.065099999999994)	(53, 49.3368)	(54, 49.2945)	(55, 49.7989)	(56, 49.3674)	(57, 49.158)	(58, 49.7808)	(59, 49.4019)	(60, 49.2222)	(61, 49.9147)	(62, 49.3345)	(63, 49.4332)
SRR1039520	(1, 47.0854)	(2, 48.4116)	(3, 49.467299999999994)	(4, 50.0135)	(5, 49.8155)	(6, 49.6673)	(7, 50.034800000000004)	(8, 49.6124)	(9, 49.422)	(10, 49.6187)	(11, 49.2948)	(12, 49.1666)	(13, 49.8895)	(14, 49.5282)	(15, 49.3929)	(16, 49.9261)	(17, 49.712)	(18, 49.4023)	(19, 49.6901)	(20, 49.433)	(21, 49.1022)	(22, 49.811)	(23, 49.445499999999996)	(24, 49.3599)	(25, 49.6762)	(26, 49.3988)	(27, 49.188900000000004)	(28, 49.7524)	(29, 49.288399999999996)	(30, 49.172399999999996)	(31, 49.605199999999996)	(32, 49.2772)	(33, 49.2844)	(34, 49.686)	(35, 49.2769)	(36, 49.1792)	(37, 49.6762)	(38, 49.3467)	(39, 49.209599999999995)	(40, 49.6109)	(41, 49.3013)	(42, 49.1446)	(43, 49.5976)	(44, 49.202200000000005)	(45, 49.1915)	(46, 49.6077)	(47, 49.2577)	(48, 49.1665)	(49, 49.6381)	(50, 49.2124)	(51, 49.0691)	(52, 49.6397)	(53, 49.3222)	(54, 49.1836)	(55, 49.5695)	(56, 49.2342)	(57, 49.0217)	(58, 49.551)	(59, 49.266)	(60, 49.0734)	(61, 49.5843)	(62, 49.2933)	(63, 49.316900000000004)
SRR1039521	(1, 46.8694)	(2, 48.3041)	(3, 49.2838)	(4, 49.851)	(5, 49.6919)	(6, 49.5573)	(7, 49.908500000000004)	(8, 49.491600000000005)	(9, 49.2718)	(10, 49.5201)	(11, 49.2199)	(12, 49.0981)	(13, 49.821799999999996)	(14, 49.4679)	(15, 49.3147)	(16, 49.8421)	(17, 49.5504)	(18, 49.3055)	(19, 49.6282)	(20, 49.358999999999995)	(21, 49.065)	(22, 49.7119)	(23, 49.2654)	(24, 49.1591)	(25, 49.4962)	(26, 49.1989)	(27, 48.975)	(28, 49.5618)	(29, 49.0717)	(30, 48.943599999999996)	(31, 49.4295)	(32, 49.1161)	(33, 49.0975)	(34, 49.5106)	(35, 49.1145)	(36, 48.973)	(37, 49.5221)	(38, 49.1993)	(39, 49.0571)	(40, 49.4892)	(41, 49.146499999999996)	(42, 48.994)	(43, 49.4333)	(44, 49.0606)	(45, 49.0295)	(46, 49.481199999999994)	(47, 49.108200000000004)	(48, 49.0212)	(49, 49.4925)	(50, 49.0981)	(51, 48.9097)	(52, 49.5349)	(53, 49.2014)	(54, 49.0386)	(55, 49.4332)	(56, 49.1016)	(57, 48.8675)	(58, 49.405)	(59, 49.0796)	(60, 48.8866)	(61, 49.4048)	(62, 49.1422)	(63, 49.1666)
