Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 0.012740099999999999)	(2, 0.018273)	(3, 0.0406313)	(4, 0.0294957)	(5, 0.0262649)	(6, 0.028758899999999997)	(7, 0.0352379)	(8, 0.0297486)	(9, 10.6837)	(10, 0.0375008)	(11, 0.030280500000000002)	(12, 0.0318807)	(13, 0.0261516)	(14, 0.0135074)	(15, 0.00961391)	(16, 0.0148372)	(17, 0.0197641)	(18, 0.023164900000000002)	(19, 0.0208192)	(20, 0.0120381)	(21, 0.021263999999999998)	(22, 0.0185912)	(23, 0.0104292)	(24, 0.025214200000000003)	(25, 0.018028799999999998)	(26, 0.0145582)	(27, 0.0113274)	(28, 0.019881799999999998)	(29, 0.0214122)	(30, 0.021155)	(31, 0.0179242)	(32, 0.018443)	(33, 0.016738199999999998)	(34, 0.0174925)	(35, 0.0168996)	(36, 0.0044080099999999995)	(37, 0.0104598)	(38, 0.00599507)	(39, 0.00276863)	(40, 0.000218002)	(41, 0.0)	(42, 0.0)	(43, 0.0326916)	(44, 0.112062)	(45, 0.137878)	(46, 0.147732)	(47, 0.19756700000000002)	(48, 0.25074199999999996)	(49, 0.28632)	(50, 0.291735)	(51, 0.287179)	(52, 0.310531)	(53, 0.31667)	(54, 0.311399)	(55, 0.332388)	(56, 0.314438)	(57, 0.321889)	(58, 0.235905)	(59, 0.11931299999999999)	(60, 0.049412399999999995)	(61, 0.0109742)	(62, 0.0020404999999999998)	(63, 0.00112053)
SRR1039509	(1, 0.0129516)	(2, 0.0186522)	(3, 0.0417996)	(4, 0.0299399)	(5, 0.026735099999999998)	(6, 0.0290276)	(7, 0.0361605)	(8, 0.0303039)	(9, 10.6808)	(10, 0.0381883)	(11, 0.031045999999999997)	(12, 0.0324026)	(13, 0.0266642)	(14, 0.013499900000000002)	(15, 0.00984604)	(16, 0.0149085)	(17, 0.0203066)	(18, 0.0236863)	(19, 0.0213418)	(20, 0.0119353)	(21, 0.0214836)	(22, 0.0184867)	(23, 0.0102526)	(24, 0.0252509)	(25, 0.0181039)	(26, 0.014719399999999999)	(27, 0.0112736)	(28, 0.020079700000000002)	(29, 0.0212047)	(30, 0.0216065)	(31, 0.017877)	(32, 0.0185151)	(33, 0.0168465)	(34, 0.0177824)	(35, 0.0169458)	(36, 0.00428726)	(37, 0.0103424)	(38, 0.00593221)	(39, 0.00254305)	(40, 0.00018434700000000002)	(41, 0.0)	(42, 0.0)	(43, 0.0335607)	(44, 0.11340700000000001)	(45, 0.138435)	(46, 0.147974)	(47, 0.19695400000000002)	(48, 0.251081)	(49, 0.287506)	(50, 0.2922)	(51, 0.288192)	(52, 0.31175)	(53, 0.317404)	(54, 0.312247)	(55, 0.33372100000000005)	(56, 0.315556)	(57, 0.322584)	(58, 0.235738)	(59, 0.12028900000000001)	(60, 0.05054429999999999)	(61, 0.0109947)	(62, 0.0018198399999999999)	(63, 0.0008886489999999999)
SRR1039512	(1, 7.10826e-05)	(2, 7.108259999999999e-06)	(3, 5.68661e-05)	(4, 4.26496e-05)	(5, 2.8433e-05)	(6, 0.00013150300000000002)	(7, 1.77706e-05)	(8, 0.00012083999999999999)	(9, 7.81909e-05)	(10, 0.0)	(11, 3.55413e-05)	(12, 6.75285e-05)	(13, 7.10826e-05)	(14, 0.000231018)	(15, 0.000220356)	(16, 1.77706e-05)	(17, 3.90954e-05)	(18, 0.0)	(19, 8.88532e-05)	(20, 1.42165e-05)	(21, 0.0)	(22, 0.0)	(23, 5.68661e-05)	(24, 2.13248e-05)	(25, 0.0)	(26, 3.1987200000000004e-05)	(27, 6.04202e-05)	(28, 3.55413e-05)	(29, 0.00012083999999999999)	(30, 3.55413e-05)	(31, 8.52991e-05)	(32, 3.1987200000000004e-05)	(33, 1.06624e-05)	(34, 1.42165e-05)	(35, 7.108259999999999e-06)	(36, 8.52991e-05)	(37, 0.00013150300000000002)	(38, 2.8433e-05)	(39, 3.90954e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 3.90954e-05)	(44, 4.62037e-05)	(45, 8.88532e-05)	(46, 6.39743e-05)	(47, 0.000110178)	(48, 3.1987200000000004e-05)	(49, 6.04202e-05)	(50, 3.5541299999999995e-06)	(51, 3.1987200000000004e-05)	(52, 0.0)	(53, 3.55413e-05)	(54, 7.108259999999999e-06)	(55, 7.108259999999999e-06)	(56, 3.5541299999999995e-06)	(57, 3.5541299999999995e-06)	(58, 3.5541299999999995e-06)	(59, 0.0)	(60, 1.06624e-05)	(61, 9.951560000000001e-05)	(62, 0.00010306999999999999)	(63, 0.00010662400000000001)
SRR1039513	(1, 3.56653e-05)	(2, 0.0)	(3, 5.34979e-05)	(4, 1.18884e-05)	(5, 5.9442100000000005e-06)	(6, 0.0)	(7, 3.56653e-05)	(8, 0.0)	(9, 8.3219e-05)	(10, 6.538630000000001e-05)	(11, 5.9442100000000005e-06)	(12, 0.000124828)	(13, 0.000178326)	(14, 0.00010105200000000001)	(15, 1.78326e-05)	(16, 7.13305e-05)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 1.18884e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 5.9442100000000005e-06)	(27, 2.37768e-05)	(28, 5.9442100000000005e-06)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 1.18884e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 5.9442100000000005e-06)	(40, 0.0)	(41, 4.75537e-05)	(42, 2.37768e-05)	(43, 2.37768e-05)	(44, 5.9442100000000005e-06)	(45, 7.13305e-05)	(46, 0.000142661)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 1.78326e-05)	(51, 2.37768e-05)	(52, 7.13305e-05)	(53, 5.9442100000000005e-06)	(54, 0.0)	(55, 5.34979e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.000130773)	(63, 1.78326e-05)
SRR1039516	(1, 0.0)	(2, 7.32628e-06)	(3, 0.0)	(4, 7.32628e-06)	(5, 6.95997e-05)	(6, 1.46526e-05)	(7, 0.0)	(8, 0.0)	(9, 0.00014652599999999999)	(10, 7.32628e-06)	(11, 1.46526e-05)	(12, 6.59366e-05)	(13, 8.79154e-05)	(14, 3.29683e-05)	(15, 7.32628e-06)	(16, 3.66314e-05)	(17, 2.19789e-05)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 2.19789e-05)	(24, 4.7620799999999996e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 1.83157e-05)	(30, 1.09894e-05)	(31, 3.66314e-05)	(32, 0.0)	(33, 0.0)	(34, 8.79154e-05)	(35, 0.0)	(36, 5.49471e-05)	(37, 4.7620799999999996e-05)	(38, 0.0)	(39, 2.5642000000000003e-05)	(40, 2.5642000000000003e-05)	(41, 0.0)	(42, 0.0)	(43, 1.83157e-05)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 8.79154e-05)	(50, 0.0)	(51, 1.09894e-05)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 7.32628e-06)	(59, 0.0)	(60, 2.5642000000000003e-05)	(61, 4.39577e-05)	(62, 2.19789e-05)	(63, 1.46526e-05)
SRR1039517	(1, 0.0)	(2, 2.9156e-06)	(3, 0.0)	(4, 0.0)	(5, 3.20716e-05)	(6, 1.74936e-05)	(7, 2.33248e-05)	(8, 0.0)	(9, 0.000134118)	(10, 5.8312e-06)	(11, 6.99744e-05)	(12, 0.000139949)	(13, 0.00011370799999999999)	(14, 1.16624e-05)	(15, 1.74936e-05)	(16, 5.248080000000001e-05)	(17, 5.8312e-06)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 5.8312e-06)	(24, 2.6240400000000004e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 2.9156e-06)	(30, 1.16624e-05)	(31, 2.04092e-05)	(32, 0.0)	(33, 0.0)	(34, 3.7902800000000006e-05)	(35, 0.0)	(36, 2.6240400000000004e-05)	(37, 2.33248e-05)	(38, 0.0)	(39, 5.8312e-06)	(40, 5.8312e-06)	(41, 0.0)	(42, 0.0)	(43, 2.9156e-06)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 4.66496e-05)	(50, 0.0)	(51, 2.9156e-06)	(52, 2.9156e-06)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 5.8312e-06)	(59, 0.0)	(60, 5.8312e-06)	(61, 1.74936e-05)	(62, 8.7468e-06)	(63, 2.6240400000000004e-05)
SRR1039520	(1, 4.70016e-06)	(2, 3.76013e-05)	(3, 8.46028e-05)	(4, 3.76013e-05)	(5, 8.46028e-05)	(6, 0.0)	(7, 9.870330000000001e-05)	(8, 9.400310000000001e-06)	(9, 3.2901099999999996e-05)	(10, 3.2901099999999996e-05)	(11, 3.2901099999999996e-05)	(12, 0.000108104)	(13, 0.000126904)	(14, 4.70016e-05)	(15, 4.70016e-06)	(16, 2.82009e-05)	(17, 1.88006e-05)	(18, 0.0)	(19, 7.99027e-05)	(20, 4.70016e-06)	(21, 4.70016e-06)	(22, 0.0)	(23, 4.70016e-05)	(24, 0.0)	(25, 0.0)	(26, 9.400310000000001e-06)	(27, 9.400310000000001e-06)	(28, 9.400310000000001e-06)	(29, 2.35008e-05)	(30, 0.0)	(31, 3.2901099999999996e-05)	(32, 0.0)	(33, 1.4100500000000002e-05)	(34, 0.0)	(35, 3.2901099999999996e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 3.76013e-05)	(40, 0.0)	(41, 3.76013e-05)	(42, 9.400310000000001e-06)	(43, 4.70016e-05)	(44, 6.1102e-05)	(45, 6.580219999999999e-05)	(46, 8.930300000000001e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 4.70016e-05)	(53, 0.0)	(54, 0.0)	(55, 1.88006e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 1.88006e-05)	(61, 0.0)	(62, 3.76013e-05)	(63, 0.0)
SRR1039521	(1, 2.12876e-05)	(2, 1.2772599999999999e-05)	(3, 4.6832699999999996e-05)	(4, 2.98026e-05)	(5, 6.81203e-05)	(6, 0.0)	(7, 8.94079e-05)	(8, 0.0)	(9, 3.40601e-05)	(10, 2.55451e-05)	(11, 2.12876e-05)	(12, 8.51504e-05)	(13, 0.000131983)	(14, 5.10902e-05)	(15, 8.51504e-06)	(16, 3.40601e-05)	(17, 0.0)	(18, 0.0)	(19, 4.25752e-05)	(20, 8.51504e-06)	(21, 0.0)	(22, 0.0)	(23, 1.2772599999999999e-05)	(24, 0.0)	(25, 0.0)	(26, 4.25752e-06)	(27, 1.2772599999999999e-05)	(28, 4.25752e-06)	(29, 4.25752e-06)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 1.70301e-05)	(34, 0.0)	(35, 8.51504e-06)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 1.70301e-05)	(40, 0.0)	(41, 2.55451e-05)	(42, 8.51504e-06)	(43, 2.98026e-05)	(44, 1.70301e-05)	(45, 6.386280000000001e-05)	(46, 8.089289999999999e-05)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 8.51504e-06)	(51, 2.12876e-05)	(52, 2.98026e-05)	(53, 4.25752e-06)	(54, 0.0)	(55, 3.40601e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 2.12876e-05)	(61, 0.0)	(62, 5.96053e-05)	(63, 1.2772599999999999e-05)
