Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 47.7209)	(2, 49.5303)	(3, 50.444900000000004)	(4, 51.0204)	(5, 51.1328)	(6, 50.4875)	(7, 50.920100000000005)	(8, 50.4602)	(9, 50.23459999999999)	(10, 50.096700000000006)	(11, 49.8141)	(12, 49.9557)	(13, 50.186699999999995)	(14, 50.352799999999995)	(15, 50.188)	(16, 50.222500000000004)	(17, 50.2829)	(18, 49.6216)	(19, 49.9943)	(20, 49.579299999999996)	(21, 49.6924)	(22, 50.3808)	(23, 50.2436)	(24, 49.8519)	(25, 49.9896)	(26, 50.4232)	(27, 49.8347)	(28, 50.1189)	(29, 49.8729)	(30, 50.0225)	(31, 50.096399999999996)	(32, 50.2147)	(33, 50.252300000000005)	(34, 50.1781)	(35, 49.8937)	(36, 49.727199999999996)	(37, 50.49360000000001)	(38, 50.437799999999996)	(39, 50.13849999999999)	(40, 50.49400000000001)	(41, 49.977199999999996)	(42, 49.972100000000005)	(43, 50.075599999999994)	(44, 49.8808)	(45, 50.103699999999996)	(46, 50.136)	(47, 50.247299999999996)	(48, 50.1221)	(49, 50.0856)	(50, 49.8001)	(51, 49.8085)	(52, 50.0015)	(53, 49.739)	(54, 49.538900000000005)	(55, 49.8934)	(56, 49.7747)	(57, 49.4899)	(58, 49.8659)	(59, 49.7668)	(60, 49.6683)	(61, 49.8609)	(62, 49.775000000000006)	(63, 49.6968)
SRR1039509	(1, 47.0848)	(2, 49.641600000000004)	(3, 49.7558)	(4, 51.07469999999999)	(5, 51.27159999999999)	(6, 49.8189)	(7, 50.8724)	(8, 49.9501)	(9, 50.19050000000001)	(10, 49.5325)	(11, 49.1128)	(12, 49.910399999999996)	(13, 49.5643)	(14, 50.3582)	(15, 50.2019)	(16, 49.5591)	(17, 50.1638)	(18, 49.0827)	(19, 49.9646)	(20, 49.0707)	(21, 49.7749)	(22, 49.356100000000005)	(23, 50.2272)	(24, 49.1982)	(25, 50.53569999999999)	(26, 50.617999999999995)	(27, 49.1561)	(28, 49.6075)	(29, 49.1925)	(30, 50.077400000000004)	(31, 49.4618)	(32, 50.1979)	(33, 50.3491)	(34, 49.5184)	(35, 49.3455)	(36, 49.2183)	(37, 50.4481)	(38, 50.566100000000006)	(39, 50.1074)	(40, 50.602999999999994)	(41, 49.3294)	(42, 50.03300000000001)	(43, 49.4098)	(44, 49.3558)	(45, 50.00639999999999)	(46, 49.605)	(47, 50.3209)	(48, 50.036)	(49, 49.3859)	(50, 49.1183)	(51, 49.8353)	(52, 49.330400000000004)	(53, 49.2027)	(54, 49.0423)	(55, 49.241600000000005)	(56, 49.1177)	(57, 48.897200000000005)	(58, 49.4365)	(59, 49.2243)	(60, 49.176500000000004)	(61, 49.4606)	(62, 49.2168)	(63, 49.3234)
SRR1039512	(1, 47.594500000000004)	(2, 48.6816)	(3, 49.837399999999995)	(4, 50.499700000000004)	(5, 50.137299999999996)	(6, 50.042500000000004)	(7, 50.510299999999994)	(8, 49.896)	(9, 49.8104)	(10, 50.0945)	(11, 49.5489)	(12, 49.5363)	(13, 50.325900000000004)	(14, 49.741099999999996)	(15, 49.752)	(16, 50.40369999999999)	(17, 49.95)	(18, 49.814)	(19, 50.267399999999995)	(20, 49.772)	(21, 49.620799999999996)	(22, 50.3943)	(23, 49.7842)	(24, 49.914500000000004)	(25, 50.261199999999995)	(26, 49.732)	(27, 49.687599999999996)	(28, 50.36279999999999)	(29, 49.6797)	(30, 49.6683)	(31, 50.2138)	(32, 49.6324)	(33, 49.805)	(34, 50.3375)	(35, 49.627300000000005)	(36, 49.6214)	(37, 50.2896)	(38, 49.7145)	(39, 49.723299999999995)	(40, 50.14960000000001)	(41, 49.6451)	(42, 49.670500000000004)	(43, 50.1584)	(44, 49.54)	(45, 49.6626)	(46, 50.135799999999996)	(47, 49.5894)	(48, 49.624)	(49, 50.15880000000001)	(50, 49.547999999999995)	(51, 49.5071)	(52, 50.1721)	(53, 49.6547)	(54, 49.6373)	(55, 50.090999999999994)	(56, 49.6067)	(57, 49.5001)	(58, 50.104000000000006)	(59, 49.6306)	(60, 49.5445)	(61, 50.09909999999999)	(62, 49.6531)	(63, 49.8345)
SRR1039513	(1, 46.4518)	(2, 47.7555)	(3, 48.9022)	(4, 49.4559)	(5, 49.2818)	(6, 49.121700000000004)	(7, 49.4297)	(8, 48.9941)	(9, 48.7647)	(10, 48.890499999999996)	(11, 48.5289)	(12, 48.4265)	(13, 49.1058)	(14, 48.7564)	(15, 48.6593)	(16, 49.2174)	(17, 48.9527)	(18, 48.695899999999995)	(19, 48.984899999999996)	(20, 48.6832)	(21, 48.495)	(22, 49.247600000000006)	(23, 48.8117)	(24, 48.790499999999994)	(25, 49.1076)	(26, 48.8005)	(27, 48.6261)	(28, 49.1342)	(29, 48.6659)	(30, 48.6078)	(31, 48.9977)	(32, 48.6599)	(33, 48.6786)	(34, 49.0784)	(35, 48.6517)	(36, 48.577)	(37, 49.137)	(38, 48.7854)	(39, 48.652)	(40, 49.058800000000005)	(41, 48.719699999999996)	(42, 48.583999999999996)	(43, 49.005700000000004)	(44, 48.6038)	(45, 48.6238)	(46, 49.0029)	(47, 48.6066)	(48, 48.5611)	(49, 49.0462)	(50, 48.5646)	(51, 48.4082)	(52, 48.9755)	(53, 48.612300000000005)	(54, 48.534)	(55, 48.8989)	(56, 48.618)	(57, 48.457899999999995)	(58, 48.9477)	(59, 48.6077)	(60, 48.4924)	(61, 48.9487)	(62, 48.6597)	(63, 48.709599999999995)
SRR1039516	(1, 47.2363)	(2, 48.1448)	(3, 49.2839)	(4, 49.9604)	(5, 49.762)	(6, 49.5828)	(7, 50.0557)	(8, 49.4415)	(9, 49.3839)	(10, 49.728699999999996)	(11, 49.0466)	(12, 48.7783)	(13, 49.9899)	(14, 49.3353)	(15, 49.4374)	(16, 49.9911)	(17, 49.5022)	(18, 49.4742)	(19, 49.852000000000004)	(20, 49.3877)	(21, 49.303599999999996)	(22, 50.0549)	(23, 49.3575)	(24, 49.552099999999996)	(25, 49.9354)	(26, 49.4314)	(27, 49.374)	(28, 50.0583)	(29, 49.4232)	(30, 49.214400000000005)	(31, 49.8805)	(32, 49.275000000000006)	(33, 49.5169)	(34, 49.947900000000004)	(35, 49.507400000000004)	(36, 49.3654)	(37, 49.8826)	(38, 49.2941)	(39, 49.420700000000004)	(40, 49.96)	(41, 49.486000000000004)	(42, 49.5493)	(43, 50.003299999999996)	(44, 49.284299999999995)	(45, 49.3915)	(46, 49.7774)	(47, 49.3741)	(48, 49.369099999999996)	(49, 49.9346)	(50, 49.4496)	(51, 49.2697)	(52, 50.106300000000005)	(53, 49.3762)	(54, 49.4426)	(55, 49.8322)	(56, 49.2906)	(57, 49.1496)	(58, 49.783100000000005)	(59, 49.4203)	(60, 49.2749)	(61, 49.9614)	(62, 49.3545)	(63, 49.5334)
SRR1039517	(1, 47.5224)	(2, 48.6908)	(3, 49.756299999999996)	(4, 50.398399999999995)	(5, 50.091499999999996)	(6, 49.9827)	(7, 50.40559999999999)	(8, 49.8743)	(9, 49.688900000000004)	(10, 49.9992)	(11, 49.521)	(12, 49.1309)	(13, 50.242399999999996)	(14, 49.7079)	(15, 49.617)	(16, 50.2919)	(17, 49.8702)	(18, 49.762499999999996)	(19, 50.12839999999999)	(20, 49.7321)	(21, 49.5319)	(22, 50.332)	(23, 49.8178)	(24, 49.8072)	(25, 50.2216)	(26, 49.7974)	(27, 49.6187)	(28, 50.26969999999999)	(29, 49.722300000000004)	(30, 49.6034)	(31, 50.222199999999994)	(32, 49.6419)	(33, 49.7273)	(34, 50.1795)	(35, 49.7187)	(36, 49.5973)	(37, 50.226800000000004)	(38, 49.7541)	(39, 49.6324)	(40, 50.112)	(41, 49.717299999999994)	(42, 49.6562)	(43, 50.1643)	(44, 49.6322)	(45, 49.6211)	(46, 50.1162)	(47, 49.7226)	(48, 49.599)	(49, 50.176500000000004)	(50, 49.6683)	(51, 49.4753)	(52, 50.3967)	(53, 49.6737)	(54, 49.6245)	(55, 50.129599999999996)	(56, 49.6914)	(57, 49.4874)	(58, 50.105999999999995)	(59, 49.7263)	(60, 49.5434)	(61, 50.2444)	(62, 49.662299999999995)	(63, 49.7993)
SRR1039520	(1, 47.3675)	(2, 48.7023)	(3, 49.746)	(4, 50.291799999999995)	(5, 50.09590000000001)	(6, 49.9358)	(7, 50.3194)	(8, 49.9041)	(9, 49.717099999999995)	(10, 49.9129)	(11, 49.6029)	(12, 49.4846)	(13, 50.2175)	(14, 49.862899999999996)	(15, 49.722)	(16, 50.255399999999995)	(17, 50.0556)	(18, 49.734899999999996)	(19, 50.0383)	(20, 49.7739)	(21, 49.4598)	(22, 50.1628)	(23, 49.797000000000004)	(24, 49.7076)	(25, 50.025)	(26, 49.7664)	(27, 49.533)	(28, 50.1166)	(29, 49.6618)	(30, 49.5454)	(31, 49.9742)	(32, 49.6545)	(33, 49.6622)	(34, 50.0587)	(35, 49.6532)	(36, 49.5497)	(37, 50.060300000000005)	(38, 49.7276)	(39, 49.580999999999996)	(40, 49.9823)	(41, 49.6666)	(42, 49.5177)	(43, 49.966100000000004)	(44, 49.5685)	(45, 49.5618)	(46, 49.9686)	(47, 49.634299999999996)	(48, 49.543)	(49, 49.9984)	(50, 49.5738)	(51, 49.44)	(52, 50.011700000000005)	(53, 49.6835)	(54, 49.548500000000004)	(55, 49.9369)	(56, 49.594100000000005)	(57, 49.3875)	(58, 49.9091)	(59, 49.6303)	(60, 49.4322)	(61, 49.952400000000004)	(62, 49.6555)	(63, 49.7179)
SRR1039521	(1, 47.1568)	(2, 48.6008)	(3, 49.5618)	(4, 50.140499999999996)	(5, 49.9891)	(6, 49.8269)	(7, 50.2104)	(8, 49.7823)	(9, 49.5859)	(10, 49.8212)	(11, 49.5323)	(12, 49.430800000000005)	(13, 50.152300000000004)	(14, 49.816)	(15, 49.6591)	(16, 50.177099999999996)	(17, 49.912600000000005)	(18, 49.642399999999995)	(19, 49.9962)	(20, 49.6973)	(21, 49.4293)	(22, 50.055400000000006)	(23, 49.6358)	(24, 49.504799999999996)	(25, 49.8704)	(26, 49.5759)	(27, 49.3229)	(28, 49.923)	(29, 49.446600000000004)	(30, 49.330600000000004)	(31, 49.8)	(32, 49.5004)	(33, 49.4903)	(34, 49.885000000000005)	(35, 49.4857)	(36, 49.3407)	(37, 49.9149)	(38, 49.5905)	(39, 49.4409)	(40, 49.8738)	(41, 49.512)	(42, 49.3756)	(43, 49.8014)	(44, 49.425599999999996)	(45, 49.4076)	(46, 49.8452)	(47, 49.4961)	(48, 49.3996)	(49, 49.8556)	(50, 49.4569)	(51, 49.289899999999996)	(52, 49.9056)	(53, 49.5575)	(54, 49.403999999999996)	(55, 49.797599999999996)	(56, 49.4614)	(57, 49.2308)	(58, 49.770399999999995)	(59, 49.4406)	(60, 49.2462)	(61, 49.7746)	(62, 49.5066)	(63, 49.5757)
