Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 48.2389)	(2, 49.3591)	(3, 50.7938)	(4, 51.1464)	(5, 50.8037)	(6, 50.8012)	(7, 50.7316)	(8, 50.3425)	(9, 46.0135)	(10, 50.515699999999995)	(11, 50.322599999999994)	(12, 49.7243)	(13, 50.0996)	(14, 49.9828)	(15, 50.1426)	(16, 50.355700000000006)	(17, 50.537299999999995)	(18, 49.876)	(19, 50.1043)	(20, 49.816500000000005)	(21, 49.4333)	(22, 50.3891)	(23, 49.9872)	(24, 49.8771)	(25, 50.381)	(26, 50.1076)	(27, 50.105599999999995)	(28, 50.602199999999996)	(29, 50.3108)	(30, 49.7876)	(31, 50.318200000000004)	(32, 50.276900000000005)	(33, 49.8755)	(34, 50.393600000000006)	(35, 50.321099999999994)	(36, 50.171)	(37, 50.5418)	(38, 50.36659999999999)	(39, 49.762)	(40, 49.9699)	(41, 49.8712)	(42, 49.9675)	(43, 50.06660000000001)	(44, 49.770399999999995)	(45, 49.5664)	(46, 49.9092)	(47, 49.693799999999996)	(48, 49.4182)	(49, 49.7524)	(50, 49.5914)	(51, 49.2427)	(52, 49.7048)	(53, 49.5653)	(54, 49.3414)	(55, 49.7009)	(56, 49.59)	(57, 49.3324)	(58, 49.770199999999996)	(59, 49.6992)	(60, 49.6194)	(61, 49.8958)	(62, 49.8037)	(63, 49.6339)
SRR1039509	(1, 48.540499999999994)	(2, 49.1502)	(3, 51.024499999999996)	(4, 51.0221)	(5, 50.2095)	(6, 50.63419999999999)	(7, 50.571600000000004)	(8, 50.10170000000001)	(9, 45.9481)	(10, 50.7228)	(11, 50.1995)	(12, 49.1055)	(13, 49.3229)	(14, 49.5833)	(15, 50.316)	(16, 49.7115)	(17, 50.6239)	(18, 49.5681)	(19, 50.2626)	(20, 49.4216)	(21, 49.1439)	(22, 50.48479999999999)	(23, 49.5066)	(24, 49.3387)	(25, 50.571999999999996)	(26, 49.6214)	(27, 50.1077)	(28, 50.7223)	(29, 50.2355)	(30, 49.431999999999995)	(31, 50.5361)	(32, 50.3299)	(33, 49.4629)	(34, 50.3195)	(35, 50.35039999999999)	(36, 50.3178)	(37, 50.556599999999996)	(38, 50.527100000000004)	(39, 49.2)	(40, 49.6055)	(41, 49.285000000000004)	(42, 49.8546)	(43, 49.656800000000004)	(44, 49.0827)	(45, 48.844500000000004)	(46, 49.4461)	(47, 49.0773)	(48, 48.9261)	(49, 49.242399999999996)	(50, 49.0366)	(51, 48.613800000000005)	(52, 49.156)	(53, 49.047000000000004)	(54, 48.7113)	(55, 49.2079)	(56, 49.1573)	(57, 48.9705)	(58, 49.4092)	(59, 49.2296)	(60, 49.0431)	(61, 49.4263)	(62, 49.278)	(63, 49.302600000000005)
SRR1039512	(1, 47.673500000000004)	(2, 48.725699999999996)	(3, 49.8561)	(4, 50.5251)	(5, 50.132200000000005)	(6, 50.0367)	(7, 50.5223)	(8, 49.8198)	(9, 49.7616)	(10, 50.069399999999995)	(11, 49.4922)	(12, 49.4638)	(13, 50.29)	(14, 49.6454)	(15, 49.613099999999996)	(16, 50.3289)	(17, 49.8602)	(18, 49.7666)	(19, 50.1961)	(20, 49.7139)	(21, 49.4825)	(22, 50.3178)	(23, 49.6616)	(24, 49.7517)	(25, 50.190599999999996)	(26, 49.6597)	(27, 49.546600000000005)	(28, 50.3002)	(29, 49.5961)	(30, 49.559999999999995)	(31, 50.1739)	(32, 49.5334)	(33, 49.6934)	(34, 50.1937)	(35, 49.5569)	(36, 49.564)	(37, 50.2397)	(38, 49.6186)	(39, 49.5895)	(40, 50.0443)	(41, 49.5597)	(42, 49.530499999999996)	(43, 50.126400000000004)	(44, 49.455)	(45, 49.560700000000004)	(46, 50.1032)	(47, 49.459599999999995)	(48, 49.497600000000006)	(49, 50.091699999999996)	(50, 49.4755)	(51, 49.4091)	(52, 50.104400000000005)	(53, 49.5906)	(54, 49.5678)	(55, 50.0611)	(56, 49.5626)	(57, 49.4555)	(58, 50.071200000000005)	(59, 49.5851)	(60, 49.5036)	(61, 50.1224)	(62, 49.640699999999995)	(63, 49.7136)
SRR1039513	(1, 46.657199999999996)	(2, 47.8746)	(3, 48.9977)	(4, 49.5635)	(5, 49.3236)	(6, 49.1439)	(7, 49.5405)	(8, 49.0095)	(9, 48.7507)	(10, 48.9927)	(11, 48.5502)	(12, 48.4773)	(13, 49.106300000000005)	(14, 48.6904)	(15, 48.5973)	(16, 49.2068)	(17, 48.8908)	(18, 48.7069)	(19, 48.9729)	(20, 48.6981)	(21, 48.4419)	(22, 49.1839)	(23, 48.7534)	(24, 48.7421)	(25, 49.072700000000005)	(26, 48.7275)	(27, 48.565000000000005)	(28, 49.1529)	(29, 48.6175)	(30, 48.5359)	(31, 48.9543)	(32, 48.6117)	(33, 48.615199999999994)	(34, 49.033)	(35, 48.612)	(36, 48.5759)	(37, 49.131099999999996)	(38, 48.7325)	(39, 48.5685)	(40, 48.9816)	(41, 48.6382)	(42, 48.4889)	(43, 48.9891)	(44, 48.5362)	(45, 48.531600000000005)	(46, 48.953)	(47, 48.5527)	(48, 48.484500000000004)	(49, 48.9645)	(50, 48.539)	(51, 48.3319)	(52, 48.905300000000004)	(53, 48.5644)	(54, 48.4887)	(55, 48.8752)	(56, 48.5875)	(57, 48.409600000000005)	(58, 48.9485)	(59, 48.586200000000005)	(60, 48.4829)	(61, 48.9778)	(62, 48.6161)	(63, 48.6323)
SRR1039516	(1, 47.5811)	(2, 48.411500000000004)	(3, 49.4674)	(4, 50.232600000000005)	(5, 49.8477)	(6, 49.6729)	(7, 50.3262)	(8, 49.4754)	(9, 49.5294)	(10, 49.9547)	(11, 49.4901)	(12, 49.3138)	(13, 50.0313)	(14, 49.358000000000004)	(15, 49.2999)	(16, 50.133399999999995)	(17, 49.504999999999995)	(18, 49.6297)	(19, 49.9129)	(20, 49.5241)	(21, 49.271)	(22, 50.017599999999995)	(23, 49.5511)	(24, 49.5176)	(25, 49.9065)	(26, 49.4617)	(27, 49.3336)	(28, 50.2026)	(29, 49.5347)	(30, 49.4718)	(31, 49.9602)	(32, 49.3891)	(33, 49.6768)	(34, 49.979600000000005)	(35, 49.4537)	(36, 49.4739)	(37, 50.159)	(38, 49.579299999999996)	(39, 49.5081)	(40, 49.8071)	(41, 49.283)	(42, 49.385600000000004)	(43, 50.02910000000001)	(44, 49.181799999999996)	(45, 49.3257)	(46, 49.8074)	(47, 49.2066)	(48, 49.2432)	(49, 49.851299999999995)	(50, 49.202600000000004)	(51, 49.141600000000004)	(52, 49.8567)	(53, 49.251400000000004)	(54, 49.3599)	(55, 49.8037)	(56, 49.3023)	(57, 49.1703)	(58, 49.8407)	(59, 49.3647)	(60, 49.3046)	(61, 49.8433)	(62, 49.4091)	(63, 49.6256)
SRR1039517	(1, 47.693200000000004)	(2, 48.8097)	(3, 49.8549)	(4, 50.4984)	(5, 50.159600000000005)	(6, 50.002199999999995)	(7, 50.5009)	(8, 49.8762)	(9, 49.7531)	(10, 50.0418)	(11, 49.681599999999996)	(12, 49.4442)	(13, 50.2431)	(14, 49.7)	(15, 49.567699999999995)	(16, 50.298500000000004)	(17, 49.837199999999996)	(18, 49.7181)	(19, 50.125)	(20, 49.6954)	(21, 49.455799999999996)	(22, 50.257600000000004)	(23, 49.7184)	(24, 49.7263)	(25, 50.16589999999999)	(26, 49.7255)	(27, 49.5574)	(28, 50.255300000000005)	(29, 49.666)	(30, 49.5309)	(31, 50.128099999999996)	(32, 49.581399999999995)	(33, 49.7056)	(34, 50.139100000000006)	(35, 49.6028)	(36, 49.5562)	(37, 50.2035)	(38, 49.7462)	(39, 49.5724)	(40, 50.04880000000001)	(41, 49.6199)	(42, 49.5499)	(43, 50.0999)	(44, 49.5365)	(45, 49.5767)	(46, 50.087199999999996)	(47, 49.5406)	(48, 49.5042)	(49, 50.1185)	(50, 49.568400000000004)	(51, 49.4001)	(52, 50.1172)	(53, 49.6257)	(54, 49.5889)	(55, 50.0167)	(56, 49.6332)	(57, 49.4433)	(58, 50.0815)	(59, 49.6139)	(60, 49.5084)	(61, 50.10170000000001)	(62, 49.6296)	(63, 49.8091)
SRR1039520	(1, 47.4876)	(2, 48.8069)	(3, 49.8262)	(4, 50.370099999999994)	(5, 50.1305)	(6, 49.974000000000004)	(7, 50.359500000000004)	(8, 49.8935)	(9, 49.6791)	(10, 49.9435)	(11, 49.6127)	(12, 49.4742)	(13, 50.217999999999996)	(14, 49.8412)	(15, 49.679)	(16, 50.225500000000004)	(17, 49.9972)	(18, 49.6869)	(19, 50.0181)	(20, 49.7422)	(21, 49.4173)	(22, 50.1413)	(23, 49.696)	(24, 49.6618)	(25, 49.9761)	(26, 49.6721)	(27, 49.4646)	(28, 50.076100000000004)	(29, 49.5929)	(30, 49.4636)	(31, 49.9347)	(32, 49.6045)	(33, 49.5925)	(34, 49.9912)	(35, 49.5938)	(36, 49.471)	(37, 50.022)	(38, 49.6763)	(39, 49.4964)	(40, 49.9147)	(41, 49.5888)	(42, 49.4354)	(43, 49.9374)	(44, 49.4982)	(45, 49.536)	(46, 49.943799999999996)	(47, 49.5486)	(48, 49.479600000000005)	(49, 49.9503)	(50, 49.532)	(51, 49.3753)	(52, 49.9941)	(53, 49.6819)	(54, 49.5077)	(55, 49.9262)	(56, 49.5833)	(57, 49.3934)	(58, 49.953599999999994)	(59, 49.6153)	(60, 49.4451)	(61, 49.9694)	(62, 49.6683)	(63, 49.6812)
SRR1039521	(1, 47.2746)	(2, 48.6763)	(3, 49.647200000000005)	(4, 50.248400000000004)	(5, 50.01989999999999)	(6, 49.8469)	(7, 50.2532)	(8, 49.7919)	(9, 49.5824)	(10, 49.8598)	(11, 49.5442)	(12, 49.410399999999996)	(13, 50.1599)	(14, 49.7675)	(15, 49.6114)	(16, 50.1657)	(17, 49.8394)	(18, 49.598)	(19, 49.953900000000004)	(20, 49.6768)	(21, 49.3308)	(22, 50.0302)	(23, 49.5452)	(24, 49.4373)	(25, 49.802400000000006)	(26, 49.4823)	(27, 49.2481)	(28, 49.8812)	(29, 49.4048)	(30, 49.2513)	(31, 49.7786)	(32, 49.4394)	(33, 49.411300000000004)	(34, 49.8598)	(35, 49.4215)	(36, 49.297200000000004)	(37, 49.8534)	(38, 49.513)	(39, 49.322300000000006)	(40, 49.7928)	(41, 49.444500000000005)	(42, 49.2916)	(43, 49.787)	(44, 49.343199999999996)	(45, 49.3675)	(46, 49.7815)	(47, 49.4005)	(48, 49.317299999999996)	(49, 49.804700000000004)	(50, 49.3743)	(51, 49.2053)	(52, 49.878499999999995)	(53, 49.5477)	(54, 49.357299999999995)	(55, 49.7914)	(56, 49.442099999999996)	(57, 49.2057)	(58, 49.7637)	(59, 49.4313)	(60, 49.2246)	(61, 49.7864)	(62, 49.493500000000004)	(63, 49.4894)
