Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 38.385)	(2, 40.0664)	(3, 40.0023)	(4, 40.0752)	(5, 40.0313)	(6, 40.0067)	(7, 39.9981)	(8, 39.9705)	(9, 34.3153)	(10, 36.2921)	(11, 38.4479)	(12, 39.3055)	(13, 39.535)	(14, 39.6386)	(15, 39.6767)	(16, 39.7645)	(17, 39.7221)	(18, 39.6126)	(19, 39.6282)	(20, 39.5094)	(21, 39.6973)	(22, 39.7305)	(23, 39.7413)	(24, 39.5729)	(25, 39.6263)	(26, 39.6069)	(27, 39.5543)	(28, 39.4862)	(29, 39.4666)	(30, 39.3595)	(31, 39.3077)	(32, 39.2838)	(33, 39.3048)	(34, 39.3454)	(35, 39.3336)	(36, 39.2682)	(37, 39.2139)	(38, 39.1262)	(39, 37.4904)	(40, 38.1431)	(41, 38.4915)	(42, 38.6498)	(43, 38.6218)	(44, 38.5196)	(45, 38.427)	(46, 38.273)	(47, 38.1349)	(48, 37.9112)	(49, 37.7496)	(50, 37.565)	(51, 37.3999)	(52, 37.2104)	(53, 36.8617)	(54, 36.6884)	(55, 36.4924)	(56, 36.2935)	(57, 36.0646)	(58, 35.8094)	(59, 35.8122)	(60, 35.5948)	(61, 35.4908)	(62, 35.2208)	(63, 34.4267)
SRR1039509	(1, 38.147)	(2, 39.7477)	(3, 39.6845)	(4, 39.763)	(5, 39.7153)	(6, 39.7089)	(7, 39.6374)	(8, 39.6252)	(9, 34.0934)	(10, 36.0978)	(11, 38.226)	(12, 39.0003)	(13, 39.2121)	(14, 39.3626)	(15, 39.3892)	(16, 39.5089)	(17, 39.4174)	(18, 39.2649)	(19, 39.3096)	(20, 39.2446)	(21, 39.4148)	(22, 39.4771)	(23, 39.4447)	(24, 39.3056)	(25, 39.3664)	(26, 39.325)	(27, 39.3344)	(28, 39.2305)	(29, 39.3167)	(30, 39.1787)	(31, 39.1344)	(32, 39.1079)	(33, 39.102)	(34, 39.1639)	(35, 39.1383)	(36, 39.1029)	(37, 39.1024)	(38, 38.9817)	(39, 37.3575)	(40, 37.9717)	(41, 38.337)	(42, 38.5131)	(43, 38.4795)	(44, 38.3757)	(45, 38.2596)	(46, 38.1139)	(47, 37.9929)	(48, 37.7863)	(49, 37.6563)	(50, 37.4832)	(51, 37.3076)	(52, 37.1271)	(53, 36.7751)	(54, 36.5802)	(55, 36.3663)	(56, 36.167)	(57, 35.9443)	(58, 35.6913)	(59, 35.6957)	(60, 35.4783)	(61, 35.3749)	(62, 35.1086)	(63, 34.2945)
SRR1039512	(1, 38.2084)	(2, 39.7804)	(3, 39.7571)	(4, 39.7696)	(5, 39.752)	(6, 39.7258)	(7, 39.7285)	(8, 39.6667)	(9, 39.6222)	(10, 39.529)	(11, 39.4736)	(12, 39.4627)	(13, 39.3805)	(14, 39.3622)	(15, 39.1153)	(16, 39.3413)	(17, 39.3305)	(18, 39.3007)	(19, 39.2973)	(20, 39.2523)	(21, 39.3817)	(22, 39.384)	(23, 39.4325)	(24, 39.4013)	(25, 39.3739)	(26, 39.3177)	(27, 39.2523)	(28, 39.2453)	(29, 39.171)	(30, 39.1053)	(31, 39.0961)	(32, 39.0168)	(33, 38.9128)	(34, 38.8639)	(35, 38.7829)	(36, 38.6398)	(37, 38.5527)	(38, 38.4669)	(39, 36.6446)	(40, 37.3394)	(41, 37.708)	(42, 37.9874)	(43, 37.9916)	(44, 37.9745)	(45, 37.8233)	(46, 37.735)	(47, 37.5563)	(48, 37.3896)	(49, 37.2215)	(50, 37.0803)	(51, 36.8648)	(52, 36.6844)	(53, 36.465)	(54, 36.2945)	(55, 36.0943)	(56, 35.9073)	(57, 35.6726)	(58, 35.4068)	(59, 35.2262)	(60, 35.0087)	(61, 34.6998)	(62, 34.4767)	(63, 32.9407)
SRR1039513	(1, 37.8238)	(2, 39.1825)	(3, 39.2764)	(4, 39.2556)	(5, 39.2238)	(6, 39.2109)	(7, 39.2013)	(8, 39.1469)	(9, 39.1196)	(10, 38.9321)	(11, 38.873)	(12, 38.8187)	(13, 38.8809)	(14, 38.654)	(15, 38.6391)	(16, 38.8211)	(17, 38.8057)	(18, 38.7161)	(19, 38.737)	(20, 38.6336)	(21, 38.8311)	(22, 38.6252)	(23, 38.8105)	(24, 38.7482)	(25, 38.6382)	(26, 38.683)	(27, 38.693)	(28, 38.7209)	(29, 38.5484)	(30, 38.4848)	(31, 38.4684)	(32, 38.4619)	(33, 38.4198)	(34, 38.353)	(35, 38.2729)	(36, 38.1171)	(37, 38.0841)	(38, 37.9554)	(39, 36.0848)	(40, 36.7908)	(41, 37.3223)	(42, 37.5394)	(43, 37.4681)	(44, 37.361)	(45, 37.312)	(46, 37.1506)	(47, 37.0539)	(48, 36.9349)	(49, 36.755)	(50, 36.6344)	(51, 36.4274)	(52, 36.3168)	(53, 35.9274)	(54, 35.6708)	(55, 35.5449)	(56, 35.4018)	(57, 35.1034)	(58, 34.8469)	(59, 34.6471)	(60, 34.331)	(61, 33.941)	(62, 33.5459)	(63, 32.0771)
SRR1039516	(1, 37.9058)	(2, 39.3875)	(3, 39.3718)	(4, 39.3332)	(5, 39.3415)	(6, 39.3103)	(7, 39.2948)	(8, 39.1981)	(9, 39.0366)	(10, 39.1311)	(11, 38.8619)	(12, 38.9585)	(13, 38.799)	(14, 38.7769)	(15, 38.7586)	(16, 38.8009)	(17, 38.7793)	(18, 38.793)	(19, 38.7612)	(20, 38.7252)	(21, 38.9367)	(22, 38.8803)	(23, 38.9591)	(24, 38.879)	(25, 38.8115)	(26, 38.8698)	(27, 38.8387)	(28, 38.7192)	(29, 38.6792)	(30, 38.6548)	(31, 38.5852)	(32, 38.5081)	(33, 38.3442)	(34, 38.3171)	(35, 38.2359)	(36, 38.1241)	(37, 38.0784)	(38, 37.7714)	(39, 36.0124)	(40, 36.8745)	(41, 37.3641)	(42, 37.5228)	(43, 37.4679)	(44, 37.3471)	(45, 37.2963)	(46, 37.2342)	(47, 37.1178)	(48, 36.9384)	(49, 36.6143)	(50, 36.5181)	(51, 36.3227)	(52, 36.1157)	(53, 36.0321)	(54, 35.7783)	(55, 35.4809)	(56, 35.3155)	(57, 35.0665)	(58, 34.8251)	(59, 34.1441)	(60, 34.069)	(61, 33.9136)	(62, 33.6364)	(63, 32.0766)
SRR1039517	(1, 37.8868)	(2, 39.3569)	(3, 39.3456)	(4, 39.306)	(5, 39.3078)	(6, 39.2744)	(7, 39.2654)	(8, 39.1686)	(9, 39.0074)	(10, 39.0856)	(11, 38.8107)	(12, 38.9157)	(13, 38.7754)	(14, 38.7504)	(15, 38.7349)	(16, 38.7758)	(17, 38.758)	(18, 38.7672)	(19, 38.7348)	(20, 38.6877)	(21, 38.9004)	(22, 38.8408)	(23, 38.9079)	(24, 38.8296)	(25, 38.7712)	(26, 38.8214)	(27, 38.7773)	(28, 38.6664)	(29, 38.6132)	(30, 38.6017)	(31, 38.5229)	(32, 38.4369)	(33, 38.2861)	(34, 38.2599)	(35, 38.174)	(36, 38.0473)	(37, 38.0029)	(38, 37.6918)	(39, 35.9479)	(40, 36.8075)	(41, 37.2803)	(42, 37.4399)	(43, 37.3928)	(44, 37.276)	(45, 37.223)	(46, 37.1624)	(47, 37.0502)	(48, 36.8689)	(49, 36.5591)	(50, 36.4541)	(51, 36.2518)	(52, 36.0503)	(53, 35.9725)	(54, 35.7291)	(55, 35.4362)	(56, 35.2709)	(57, 35.018)	(58, 34.7821)	(59, 34.1357)	(60, 34.0401)	(61, 33.8711)	(62, 33.5936)	(63, 32.0186)
SRR1039520	(1, 37.8484)	(2, 39.2584)	(3, 39.2764)	(4, 39.29)	(5, 39.2646)	(6, 39.2541)	(7, 39.2516)	(8, 39.1873)	(9, 39.0771)	(10, 38.9748)	(11, 38.8121)	(12, 38.8356)	(13, 38.7964)	(14, 38.6817)	(15, 38.6896)	(16, 38.8193)	(17, 38.8057)	(18, 38.7392)	(19, 38.757)	(20, 38.6409)	(21, 38.8176)	(22, 38.6992)	(23, 38.8381)	(24, 38.7701)	(25, 38.7016)	(26, 38.7077)	(27, 38.6507)	(28, 38.6975)	(29, 38.5648)	(30, 38.5067)	(31, 38.4549)	(32, 38.4482)	(33, 38.3508)	(34, 38.2588)	(35, 38.1923)	(36, 38.0357)	(37, 38.021)	(38, 37.9055)	(39, 36.0275)	(40, 36.6867)	(41, 37.2399)	(42, 37.4398)	(43, 37.336)	(44, 37.2877)	(45, 37.1889)	(46, 37.0506)	(47, 36.9566)	(48, 36.8132)	(49, 36.6432)	(50, 36.4884)	(51, 36.2283)	(52, 36.136)	(53, 35.8421)	(54, 35.5984)	(55, 35.3601)	(56, 35.2648)	(57, 34.9941)	(58, 34.7472)	(59, 34.5046)	(60, 34.2408)	(61, 33.9046)	(62, 33.5705)	(63, 32.1346)
SRR1039521	(1, 37.7857)	(2, 39.1957)	(3, 39.2344)	(4, 39.233)	(5, 39.21)	(6, 39.2005)	(7, 39.1962)	(8, 39.1351)	(9, 39.0217)	(10, 38.9195)	(11, 38.7663)	(12, 38.7822)	(13, 38.7432)	(14, 38.6184)	(15, 38.6323)	(16, 38.7863)	(17, 38.7612)	(18, 38.6892)	(19, 38.7103)	(20, 38.5919)	(21, 38.7859)	(22, 38.6476)	(23, 38.7879)	(24, 38.7141)	(25, 38.631)	(26, 38.6438)	(27, 38.5882)	(28, 38.6453)	(29, 38.5089)	(30, 38.4522)	(31, 38.4105)	(32, 38.3997)	(33, 38.2991)	(34, 38.2051)	(35, 38.1415)	(36, 37.9968)	(37, 37.983)	(38, 37.8702)	(39, 35.9921)	(40, 36.6392)	(41, 37.1986)	(42, 37.4009)	(43, 37.2954)	(44, 37.2455)	(45, 37.1425)	(46, 37.009)	(47, 36.9262)	(48, 36.7824)	(49, 36.6148)	(50, 36.4586)	(51, 36.1987)	(52, 36.1181)	(53, 35.8235)	(54, 35.5747)	(55, 35.3329)	(56, 35.2428)	(57, 34.9704)	(58, 34.7189)	(59, 34.4755)	(60, 34.2095)	(61, 33.8709)	(62, 33.5273)	(63, 32.0731)
