Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95
SRR1039508	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.10267789980442305)	(33, 0.09459154505792086)	(34, 0.09214683315781556)	(35, 0.09214683315781556)	(36, 0.08876184744997742)	(37, 0.08932601173461711)	(38, 0.08255604031894087)	(39, 0.09289905220400181)	(40, 0.09101850458853618)	(41, 0.09797653076575898)	(42, 0.0904543403038965)	(43, 0.09064239506544305)	(44, 0.08763351888069806)	(45, 0.0844365879344065)	(46, 0.09064239506544305)	(47, 0.09158266887317587)	(48, 0.10286595456596961)	(49, 0.1103881450278321)	(50, 0.11226869264329774)	(51, 0.11565367835113585)	(52, 0.11565367835113585)	(53, 0.1164058973973221)	(54, 0.11960282834361366)	(55, 0.13126222355950054)	(56, 0.14611854972167895)	(57, 0.17207010681510457)	(58, 0.18711448773882955)	(59, 0.2143824281630811)	(60, 0.24785617571836918)	(61, 0.2689183090115842)	(62, 0.3084098089363623)	(63, 0.3091620279825485)	(64, 0.3563637731307357)	(65, 0.37836618023168345)	(66, 0.4368512110726644)	(67, 0.5081239656988116)	(68, 0.6265984654731458)	(69, 0.7080261772228074)	(70, 0.8407928388746803)	(71, 0.9590792838874681)	(72, 1.032984805175267)	(73, 1.1162930645403941)	(74, 1.194523845343764)	(75, 1.2945689784865353)	(76, 1.4156762449225213)	(77, 1.6364525349781858)	(78, 1.8831803821272757)	(79, 2.1406273506845195)	(80, 2.4736723333834814)	(81, 2.7975026327666614)	(82, 3.006619527606439)	(83, 3.17831352489845)	(84, 3.3155935008274406)	(85, 3.42616970061682)	(86, 3.7492477809538136)	(87, 4.055024823228524)	(88, 4.4807808033699414)	(89, 4.950729652474801)	(90, 5.458477508650518)	(91, 5.905107567323604)	(92, 6.227057319091319)	(93, 6.385775537836618)	(94, 6.425078982999849)	(95, 6.603354896945992)	(96, 6.79535880848503)
SRR1039509	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.11311372680320247)	(33, 0.14455934285449276)	(34, 0.12533000929794835)	(35, 0.10926786009189358)	(36, 0.10315971884452067)	(37, 0.10700558555582955)	(38, 0.10858917773107438)	(39, 0.1054219933805847)	(40, 0.1655984960398884)	(41, 0.10904163263828717)	(42, 0.10383840120533987)	(43, 0.09773025995796693)	(44, 0.1097203149991064)	(45, 0.10406462865894628)	(46, 0.11967432295778822)	(47, 0.11967432295778822)	(48, 0.1373200643390878)	(49, 0.12148414258663946)	(50, 0.11469731897844732)	(51, 0.12080546022582024)	(52, 0.1594903547925155)	(53, 0.12668737401958677)	(54, 0.1551920331739938)	(55, 0.14116593105039668)	(56, 0.15587071553481302)	(57, 0.17170663728726135)	(58, 0.19070974339019936)	(59, 0.24093223809082126)	(60, 0.26468612071949377)	(61, 0.2963579642243905)	(62, 0.29477437204914564)	(63, 0.3305183097189576)	(64, 0.35133123545074685)	(65, 0.3947669065431767)	(66, 0.4341304834706911)	(67, 0.5112740451504753)	(68, 0.6090043051084422)	(69, 0.7261901260765599)	(70, 0.8275400252922293)	(71, 0.9377127951985486)	(72, 1.0168924039607903)	(73, 1.0634952594037097)	(74, 1.1521764212174204)	(75, 1.2625754185773461)	(76, 1.3942397965762738)	(77, 1.5915101361210586)	(78, 1.8478258410571158)	(79, 2.091020353684001)	(80, 2.4425778165883543)	(81, 2.7319227297509463)	(82, 2.9875597523261836)	(83, 3.1008997065829926)	(84, 3.265367065354849)	(85, 3.392054439374436)	(86, 3.648596371764099)	(87, 3.9750425873181414)	(88, 4.309632991202014)	(89, 4.941033814217491)	(90, 5.414754102069303)	(91, 5.942768978786652)	(92, 6.268084057072662)	(93, 6.474855949668916)	(94, 6.498157377390376)	(95, 6.661041143986987)	(96, 6.865776989500784)
SRR1039512	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.09498304018327089)	(33, 0.10385619043393737)	(34, 0.09518470268896785)	(35, 0.0978063152630284)	(36, 0.09720132774593751)	(37, 0.0990162902972102)	(38, 0.09457971517187695)	(39, 0.08913482751805887)	(40, 0.0907481275636346)	(41, 0.09639467772314964)	(42, 0.09155477758642247)	(43, 0.09800797776872539)	(44, 0.09538636519466481)	(45, 0.09437805266617999)	(46, 0.09417639016048303)	(47, 0.0919581025978164)	(48, 0.09941961530860413)	(49, 0.09861296528581628)	(50, 0.10425951544533131)	(51, 0.11030939061624027)	(52, 0.10930107808775547)	(53, 0.12240914095805824)	(54, 0.1250307535321188)	(55, 0.13249226624290653)	(56, 0.15225519180120917)	(57, 0.16536325467151194)	(58, 0.188554442826663)	(59, 0.21557721859005644)	(60, 0.23191188155151066)	(61, 0.2506664945813285)	(62, 0.2716393951738129)	(63, 0.30390539608532746)	(64, 0.35694263508362944)	(65, 0.39949342378568925)	(66, 0.4426492000048399)	(67, 0.49326648893477826)	(68, 0.5813930039243523)	(69, 0.6697211814196233)	(70, 0.7558310713522277)	(71, 0.8709803621051951)	(72, 0.937327326479497)	(73, 1.0407801919020405)	(74, 1.1416114447505232)	(75, 1.273297060970642)	(76, 1.4521717035238506)	(77, 1.6772270598816645)	(78, 1.8651765151912365)	(79, 2.1182629598409286)	(80, 2.355821391551954)	(81, 2.616369348912434)	(82, 2.8634059183912175)	(83, 3.0043680098733963)	(84, 3.234263266367937)	(85, 3.502474398944902)	(86, 3.843889021089865)	(87, 4.178447118041131)	(88, 4.518853427657609)	(89, 4.897373950850814)	(90, 5.3616010389652295)	(91, 5.684462710586072)	(92, 6.219473338200122)	(93, 6.387054880434301)	(94, 6.675028938569567)	(95, 7.023703410919621)	(96, 7.351203320171494)
SRR1039513	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.10715318191530815)	(33, 0.09426966150906874)	(34, 0.09112733945876646)	(35, 0.10841011073542904)	(36, 0.1024396988398547)	(37, 0.10118277001973379)	(38, 0.08892771402355484)	(39, 0.09646928694428034)	(40, 0.08924194622858507)	(41, 0.09961160899458264)	(42, 0.0970977513543408)	(43, 0.09426966150906874)	(44, 0.09364119709900828)	(45, 0.09992584119961287)	(46, 0.09898314458452216)	(47, 0.10055430560967332)	(48, 0.08892771402355484)	(49, 0.1046393242750663)	(50, 0.1002400734046431)	(51, 0.09364119709900828)	(52, 0.1143805226310034)	(53, 0.10841011073542904)	(54, 0.11060973617064065)	(55, 0.12977790067748463)	(56, 0.12914943626742417)	(57, 0.13951909903342175)	(58, 0.15083145841450998)	(59, 0.17094231953644465)	(60, 0.20016591460425598)	(61, 0.2306464384921882)	(62, 0.24007340464309504)	(63, 0.2689827675058762)	(64, 0.30606216769944317)	(65, 0.3381138526125265)	(66, 0.36859437650045873)	(67, 0.4550082328837718)	(68, 0.52099699594012)	(69, 0.6070966201184027)	(70, 0.6872258324011111)	(71, 0.7937505499063588)	(72, 0.8983898741814251)	(73, 0.9684636559031661)	(74, 1.0155984866577006)	(75, 1.2079085961362008)	(76, 1.2930655236993929)	(77, 1.4966879925589813)	(78, 1.718535929310323)	(79, 1.9755778730250508)	(80, 2.2910670068754007)	(81, 2.56413479304667)	(82, 2.7897535162583744)	(83, 3.047738156588192)	(84, 3.2532460186779626)	(85, 3.4801216707097877)	(86, 3.7626164230319636)	(87, 4.152264357269448)	(88, 4.531228396535904)	(89, 5.039656104274815)	(90, 5.6348119006020685)	(91, 5.988637363466107)	(92, 6.462813760856722)	(93, 6.69188903832376)	(94, 6.9724983974157535)	(95, 7.236139217436116)	(96, 7.506064681557083)
SRR1039516	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.10719262514738985)	(33, 0.105946199273583)	(34, 0.11167975829309455)	(35, 0.10395191787549202)	(36, 0.10295477717644655)	(37, 0.10345334752596927)	(38, 0.1076911954969126)	(39, 0.11716403213784474)	(40, 0.10021264025407144)	(41, 0.10370263270073066)	(42, 0.1174133173126061)	(43, 0.10569691409882163)	(44, 0.11367403969118552)	(45, 0.12264830598259491)	(46, 0.10694333997262849)	(47, 0.11167975829309455)	(48, 0.12090330975926532)	(49, 0.12539044290497)	(50, 0.12464258738068588)	(51, 0.1368575609439931)	(52, 0.1388518423420841)	(53, 0.15306109730348225)	(54, 0.1545568083520505)	(55, 0.1625339339444144)	(56, 0.18073175170199451)	(57, 0.1996774249838588)	(58, 0.22585236833380282)	(59, 0.24953445993613316)	(60, 0.28842294719890715)	(61, 0.3106093277526692)	(62, 0.33254642313166993)	(63, 0.3522399519378183)	(64, 0.4088276866086497)	(65, 0.4494611700947533)	(66, 0.5028081974936869)	(67, 0.5392038330088471)	(68, 0.6401643287872026)	(69, 0.7433683911384106)	(70, 0.80868110692589)	(71, 0.8954323477428474)	(72, 0.9759514591907704)	(73, 1.0906226395810015)	(74, 1.2052938199712326)	(75, 1.2957843384096104)	(76, 1.426908340334092)	(77, 1.628081476366519)	(78, 1.8297531827484688)	(79, 2.0685683801698627)	(80, 2.2849479118627336)	(81, 2.5322388052260147)	(82, 2.783518261385477)	(83, 2.9642500130874714)	(84, 3.1746467005860692)	(85, 3.377315547667065)	(86, 3.7198333777891897)	(87, 4.044402675328495)	(88, 4.47965459046185)	(89, 4.831146686875385)	(90, 5.240722229008318)	(91, 5.5443515718676695)	(92, 6.019987685312367)	(93, 6.306665636287945)	(94, 6.740421840372732)	(95, 7.049535457076832)	(96, 7.399033272092276)
SRR1039517	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.09462651420481222)	(33, 0.08798098801638267)	(34, 0.08393588511907772)	(35, 0.08754758413452857)	(36, 0.08335801327660558)	(37, 0.08682524433143839)	(38, 0.09462651420481222)	(39, 0.09043694334688925)	(40, 0.09217055887430564)	(41, 0.08971460354379908)	(42, 0.08798098801638267)	(43, 0.09650459769284667)	(44, 0.09115928314997941)	(45, 0.0995384248658254)	(46, 0.0992494889445893)	(47, 0.09607119381099256)	(48, 0.10054970059015161)	(49, 0.10271671999942213)	(50, 0.11528543257319109)	(51, 0.1174524519824616)	(52, 0.11774138790369766)	(53, 0.13103244028055677)	(54, 0.14316774897247161)	(55, 0.1443234926574159)	(56, 0.16021496832539964)	(57, 0.17263921293855056)	(58, 0.2115010943448017)	(59, 0.2350493719255412)	(60, 0.26004232911246106)	(61, 0.2856131581418531)	(62, 0.32317482790254193)	(63, 0.35047927245935034)	(64, 0.39223051307796214)	(65, 0.44915088956146754)	(66, 0.5013038233445778)	(67, 0.5654475978589848)	(68, 0.6453383800807576)	(69, 0.7364976632307371)	(70, 0.8530833074494903)	(71, 0.953488540079024)	(72, 1.0244223087424786)	(73, 1.136818382103309)	(74, 1.2401129739452033)	(75, 1.3575654259276648)	(76, 1.523414644717168)	(77, 1.7379495662349482)	(78, 1.940782582942668)	(79, 2.184644500465909)	(80, 2.419116000548978)	(81, 2.625849652193385)	(82, 2.8510752027968995)	(83, 3.0875692543286215)	(84, 3.286646104060272)	(85, 3.5004586857749627)	(86, 3.853249445604201)	(87, 4.09508881167879)	(88, 4.473016996655567)	(89, 4.835342641885595)	(90, 5.2449093102377216)	(91, 5.584120081768866)	(92, 5.9386444571255215)	(93, 6.216167409472765)	(94, 6.4595959231141515)	(95, 6.795917335432934)	(96, 7.058271151915283)
SRR1039520	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.105997681455867)	(33, 0.12089196924826048)	(34, 0.1161754447806692)	(35, 0.10872830088447245)	(36, 0.10500472893637408)	(37, 0.11567896852092276)	(38, 0.11021772966371181)	(39, 0.10500472893637408)	(40, 0.10848006275459923)	(41, 0.11270011096244405)	(42, 0.11667192104041564)	(43, 0.10028820446878281)	(44, 0.105997681455867)	(45, 0.11766487355990855)	(46, 0.11294834909231727)	(47, 0.11543073039104954)	(48, 0.10674239584548666)	(49, 0.10947301527409214)	(50, 0.12759439875483755)	(51, 0.105997681455867)	(52, 0.12461554119635883)	(53, 0.13255916135230206)	(54, 0.13777216207963974)	(55, 0.1541558786512726)	(56, 0.15192173548241358)	(57, 0.1692984045735393)	(58, 0.1809655966775809)	(59, 0.20703060031426948)	(60, 0.2214284118469165)	(61, 0.24426631979525318)	(62, 0.2618912270162521)	(63, 0.28696327813344785)	(64, 0.3383485710172054)	(65, 0.37384662358907655)	(66, 0.41629534379739797)	(67, 0.45377930140825495)	(68, 0.5553086965264038)	(69, 0.6421920419820325)	(70, 0.7218764816713377)	(71, 0.8273776868674582)	(72, 0.8685852164264136)	(73, 0.9750793741420269)	(74, 1.0522814325326)	(75, 1.1741663543003533)	(76, 1.354138998458441)	(77, 1.553722454876514)	(78, 1.7843356775287398)	(79, 2.02686433041488)	(80, 2.314572322937948)	(81, 2.5285535908886674)	(82, 2.8189922028403407)	(83, 2.916549787880518)	(84, 3.1853916825332202)	(85, 3.393911711626729)	(86, 3.7335014732933005)	(87, 4.083765474544421)	(88, 4.5283599651473665)	(89, 4.98735226728296)	(90, 5.5468810120172085)	(91, 5.9194864449569184)	(92, 6.3665633168585964)	(93, 6.589481157484752)	(94, 6.79402937650029)	(95, 7.1164907072056085)	(96, 7.557361625860455)
SRR1039521	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.10457516339869283)	(33, 0.11365902293120637)	(34, 0.11188656253461836)	(35, 0.10546139359698682)	(36, 0.11210812008419187)	(37, 0.12407222776116096)	(38, 0.11432369557992689)	(39, 0.1152099257782209)	(40, 0.12296444001329346)	(41, 0.10767696909272184)	(42, 0.11964107676969092)	(43, 0.11011410213803034)	(44, 0.11343746538163288)	(45, 0.11897640412097044)	(46, 0.128060263653484)	(47, 0.12074886451755845)	(48, 0.12562313060817548)	(49, 0.12606624570732247)	(50, 0.13271297219452752)	(51, 0.13780879583471808)	(52, 0.14024592888002657)	(53, 0.1424615043757616)	(54, 0.1446770798714966)	(55, 0.1537609394040102)	(56, 0.1643957017835383)	(57, 0.19674310402126952)	(58, 0.21070122964440013)	(59, 0.2321923119530298)	(60, 0.262324138695026)	(61, 0.2807134153096267)	(62, 0.29090506259000776)	(63, 0.30995901185332886)	(64, 0.35670765481333777)	(65, 0.3817436579151435)	(66, 0.44931871053506145)	(67, 0.49961227428824634)	(68, 0.5999778442450426)	(69, 0.6950260330120749)	(70, 0.7894095491303866)	(71, 0.8636313282375097)	(72, 0.9535836933643513)	(73, 1.0304641630663565)	(74, 1.1235183338872272)	(75, 1.2619918023706658)	(76, 1.4283815221003657)	(77, 1.6280048742660906)	(78, 1.8072449318710535)	(79, 2.06580259222333)	(80, 2.3784202946715407)	(81, 2.6214689265536726)	(82, 2.7996011964107677)	(83, 3.0018832391713746)	(84, 3.17048853439681)	(85, 3.455189985598759)	(86, 3.689597873047524)	(87, 4.067575052619918)	(88, 4.450648055832502)	(89, 4.980392156862745)	(90, 5.433034230641409)	(91, 5.78486761936413)	(92, 6.220892876924782)	(93, 6.400354492079317)	(94, 6.619031793508364)	(95, 6.903733244710314)	(96, 7.194195192201175)
