Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 2.18002e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00034444399999999996)	(8, 0.000396764)	(9, 0.00200126)	(10, 0.005720380000000001)	(11, 0.00313488)	(12, 0.0)	(13, 0.00153038)	(14, 0.021285799999999997)	(15, 0.20133)	(16, 0.2405)	(17, 0.281707)	(18, 0.282304)	(19, 0.317643)	(20, 0.325683)	(21, 0.26455900000000004)	(22, 0.32667199999999996)	(23, 0.295537)	(24, 0.16262500000000002)	(25, 0.0401212)	(26, 0.011663100000000001)	(27, 0.0016437399999999999)	(28, 4.7960499999999996e-05)	(29, 0.00222363)	(30, 0.0)	(31, 0.0)	(32, 0.000200562)	(33, 0.00040548499999999997)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 8.28409e-05)	(40, 0.0)	(41, 0.0)	(42, 4.36005e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0010289700000000001)	(51, 0.0)	(52, 0.00034880400000000003)	(53, 6.104069999999999e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 8.7201e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509	(1, 1.8907399999999998e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.000387602)	(8, 0.00043014400000000003)	(9, 0.00214127)	(10, 0.006088189999999999)	(11, 0.00310554)	(12, 9.45371e-06)	(13, 0.00159768)	(14, 0.0216726)	(15, 0.201946)	(16, 0.241093)	(17, 0.282732)	(18, 0.282808)	(19, 0.318567)	(20, 0.32632300000000003)	(21, 0.265342)	(22, 0.327793)	(23, 0.296317)	(24, 0.163053)	(25, 0.0415491)	(26, 0.011921099999999999)	(27, 0.00163077)	(28, 4.25417e-05)	(29, 0.00213181)	(30, 0.0)	(31, 0.0)	(32, 0.000259977)	(33, 0.000316699)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.72686e-06)	(39, 0.000122898)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 9.45371e-06)	(44, 4.72686e-06)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.00116753)	(51, 0.0)	(52, 0.000321426)	(53, 5.6722300000000004e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 9.45371e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039512	(1, 0.000351859)	(2, 0.000604202)	(3, 0.00106979)	(4, 0.000277222)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000167044)	(9, 0.000138611)	(10, 9.59615e-05)	(11, 0.00114798)	(12, 0.0)	(13, 0.000451374)	(14, 0.00518903)	(15, 0.00187303)	(16, 0.00569727)	(17, 0.0015887)	(18, 0.00333022)	(19, 0.00877515)	(20, 0.00926562)	(21, 0.00603491)	(22, 0.00593184)	(23, 0.012499899999999998)	(24, 0.016285)	(25, 0.0178595)	(26, 0.0102394)	(27, 0.00296059)	(28, 0.000252343)	(29, 0.0019085699999999998)	(30, 0.00174508)	(31, 0.00303878)	(32, 0.000824558)	(33, 0.0016597799999999998)	(34, 0.000252343)	(35, 0.00231018)	(36, 0.00543782)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.24074e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 2.13248e-05)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.008942190000000001)	(60, 0.00504686)	(61, 0.00263361)	(62, 0.00271536)	(63, 0.000835221)
SRR1039513	(1, 0.00168221)	(2, 0.0037626899999999995)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.000172382)	(13, 0.0)	(14, 0.0)	(15, 0.0018011000000000001)	(16, 0.00113534)	(17, 1.78326e-05)	(18, 4.75537e-05)	(19, 0.000671696)	(20, 0.000570644)	(21, 0.0028472799999999998)	(22, 0.00131367)	(23, 0.0026749)	(24, 0.0071925)	(25, 0.0151875)	(26, 0.000992683)	(27, 0.00581344)	(28, 5.34979e-05)	(29, 5.9442100000000005e-06)	(30, 0.00011294)	(31, 0.000743026)	(32, 0.00250251)	(33, 0.0028948299999999997)	(34, 0.00291266)	(35, 0.00122451)	(36, 0.00130773)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 1.78326e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 5.9442100000000005e-05)	(49, 0.0)	(50, 0.0)	(51, 5.9442100000000005e-06)	(52, 0.0)	(53, 0.0)	(54, 0.00010105200000000001)	(55, 1.18884e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00121262)	(60, 0.000665752)	(61, 0.0)	(62, 2.37768e-05)	(63, 0.00106996)
SRR1039516	(1, 2.19789e-05)	(2, 0.00010256800000000001)	(3, 0.000329683)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020513600000000002)	(11, 0.00018682)	(12, 0.6999639999999999)	(13, 0.0)	(14, 0.00013553599999999998)	(15, 0.000249094)	(16, 0.00437013)	(17, 3.66314e-06)	(18, 0.000120884)	(19, 0.000380967)	(20, 0.00157881)	(21, 0.000813217)	(22, 0.0020806600000000002)	(23, 0.00202572)	(24, 0.00332613)	(25, 0.00258984)	(26, 0.0007949019999999999)	(27, 0.00041393499999999993)	(28, 0.00030037799999999996)	(29, 0.00027839900000000003)	(30, 0.00041393499999999993)	(31, 0.00237738)	(32, 0.0013846700000000002)	(33, 0.000633724)	(34, 0.000692334)	(35, 0.00108795)	(36, 0.0010293400000000001)	(37, 5.49471e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 1.09894e-05)	(48, 3.66314e-06)	(49, 7.32628e-06)	(50, 0.0)	(51, 1.46526e-05)	(52, 6.95997e-05)	(53, 0.0)	(54, 0.0)	(55, 0.00530423)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 6.95997e-05)	(60, 0.0)	(61, 0.00177296)	(62, 4.02946e-05)	(63, 0.00013553599999999998)
SRR1039517	(1, 8.7468e-06)	(2, 8.16368e-05)	(3, 0.000326547)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000201176)	(11, 0.000737647)	(12, 0.623807)	(13, 0.0)	(14, 0.000122455)	(15, 0.000207008)	(16, 0.00409933)	(17, 1.4578e-05)	(18, 4.66496e-05)	(19, 0.00033821000000000003)	(20, 0.00150153)	(21, 0.000892174)	(22, 0.0019068000000000002)	(23, 0.0017377)	(24, 0.0036270099999999995)	(25, 0.00229749)	(26, 0.000781381)	(27, 0.000501483)	(28, 0.00026823499999999997)	(29, 0.00028281300000000003)	(30, 0.000329463)	(31, 0.00200593)	(32, 0.00123621)	(33, 0.000568542)	(34, 0.000763887)	(35, 0.00112542)	(36, 0.00120997)	(37, 4.66496e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 2.9156e-06)	(48, 2.9156e-06)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 7.580560000000001e-05)	(53, 0.0)	(54, 0.0)	(55, 0.00471744)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 2.04092e-05)	(60, 1.4578e-05)	(61, 0.00179893)	(62, 5.8312e-05)	(63, 0.000163274)
SRR1039520	(1, 0.00129724)	(2, 0.00211037)	(3, 2.35008e-05)	(4, 1.88006e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000122204)	(11, 0.0)	(12, 0.000164505)	(13, 0.0)	(14, 0.0)	(15, 0.00113274)	(16, 0.00100583)	(17, 0.00025850900000000003)	(18, 2.35008e-05)	(19, 0.00121734)	(20, 0.0033418099999999997)	(21, 0.008869199999999999)	(22, 0.00115154)	(23, 0.00206807)	(24, 0.00845088)	(25, 0.0139642)	(26, 0.0025897900000000002)	(27, 0.003948129999999999)	(28, 4.23014e-05)	(29, 0.00167326)	(30, 3.76013e-05)	(31, 0.00089303)	(32, 0.00177666)	(33, 0.0018189599999999999)	(34, 0.00214327)	(35, 0.0008554280000000001)	(36, 0.00246288)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.400310000000001e-06)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 2.82009e-05)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 6.580219999999999e-05)	(55, 2.35008e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0010810400000000001)	(60, 0.000446515)	(61, 0.0)	(62, 0.00023030799999999998)	(63, 0.0007755260000000001)
SRR1039521	(1, 0.0012219099999999999)	(2, 0.00248639)	(3, 3.83177e-05)	(4, 2.12876e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.000127726)	(11, 0.0)	(12, 0.00017030099999999998)	(13, 0.0)	(14, 0.0)	(15, 0.0014049800000000001)	(16, 0.00107715)	(17, 0.000327829)	(18, 2.12876e-05)	(19, 0.0014731)	(20, 0.0017370699999999998)	(21, 0.0063820199999999995)	(22, 0.00122617)	(23, 0.00203935)	(24, 0.00849801)	(25, 0.014586300000000002)	(26, 0.00154122)	(27, 0.00433415)	(28, 7.66353e-05)	(29, 0.0011452699999999999)	(30, 6.81203e-05)	(31, 0.00103883)	(32, 0.0019669699999999997)	(33, 0.00200955)	(34, 0.00245233)	(35, 0.0008855639999999999)	(36, 0.00286531)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 2.12876e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 1.70301e-05)	(49, 0.0)	(50, 0.0)	(51, 8.51504e-06)	(52, 0.0)	(53, 4.25752e-06)	(54, 0.00011069500000000001)	(55, 8.51504e-06)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00112824)	(60, 0.000468327)	(61, 0.0)	(62, 0.000268224)	(63, 0.0007706109999999999)
