Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 38.359)	(2, 40.0421)	(3, 40.0955)	(4, 40.1223)	(5, 40.143)	(6, 40.1346)	(7, 40.188)	(8, 40.0885)	(9, 40.1113)	(10, 40.0356)	(11, 39.8355)	(12, 39.8708)	(13, 39.9262)	(14, 39.8181)	(15, 39.7554)	(16, 39.6197)	(17, 39.4967)	(18, 39.3682)	(19, 39.2579)	(20, 39.3142)	(21, 39.3252)	(22, 39.3018)	(23, 39.1963)	(24, 39.1995)	(25, 39.2715)	(26, 39.3456)	(27, 39.2177)	(28, 39.2468)	(29, 39.2585)	(30, 39.2152)	(31, 39.1603)	(32, 38.9335)	(33, 38.903)	(34, 38.7616)	(35, 38.7833)	(36, 38.6228)	(37, 38.6041)	(38, 38.7322)	(39, 38.7509)	(40, 38.6977)	(41, 38.6521)	(42, 38.4529)	(43, 38.4013)	(44, 38.3143)	(45, 38.1997)	(46, 38.1135)	(47, 37.934)	(48, 37.7216)	(49, 37.6082)	(50, 37.5162)	(51, 37.3822)	(52, 37.1331)	(53, 37.0149)	(54, 36.7862)	(55, 36.6168)	(56, 36.4776)	(57, 36.2859)	(58, 36.1064)	(59, 35.8861)	(60, 35.5453)	(61, 35.3346)	(62, 35.1275)	(63, 34.3013)
SRR1039509	(1, 38.3607)	(2, 40.0455)	(3, 40.1003)	(4, 40.1286)	(5, 40.1508)	(6, 40.1386)	(7, 40.1929)	(8, 40.0958)	(9, 40.1168)	(10, 40.0345)	(11, 39.8449)	(12, 39.8761)	(13, 39.9258)	(14, 39.8166)	(15, 39.7522)	(16, 39.6248)	(17, 39.5094)	(18, 39.3626)	(19, 39.2623)	(20, 39.3112)	(21, 39.3305)	(22, 39.3069)	(23, 39.2031)	(24, 39.2091)	(25, 39.2888)	(26, 39.3619)	(27, 39.2293)	(28, 39.266)	(29, 39.2511)	(30, 39.1923)	(31, 39.1542)	(32, 38.9447)	(33, 38.9136)	(34, 38.77)	(35, 38.7941)	(36, 38.6327)	(37, 38.6179)	(38, 38.7471)	(39, 38.7689)	(40, 38.7153)	(41, 38.6575)	(42, 38.4695)	(43, 38.4209)	(44, 38.339)	(45, 38.2232)	(46, 38.1401)	(47, 37.9579)	(48, 37.7525)	(49, 37.641)	(50, 37.5479)	(51, 37.4002)	(52, 37.1433)	(53, 37.0355)	(54, 36.8128)	(55, 36.6375)	(56, 36.4902)	(57, 36.2948)	(58, 36.1068)	(59, 35.88)	(60, 35.5317)	(61, 35.2938)	(62, 35.0572)	(63, 34.2301)
SRR1039512	(1, 38.1859)	(2, 39.779)	(3, 39.6742)	(4, 39.6609)	(5, 39.7693)	(6, 39.7344)	(7, 39.7258)	(8, 39.653)	(9, 39.6616)	(10, 39.4798)	(11, 39.544)	(12, 39.6301)	(13, 39.6427)	(14, 39.6172)	(15, 39.5488)	(16, 39.4371)	(17, 39.4063)	(18, 39.3946)	(19, 39.3374)	(20, 39.407)	(21, 39.4293)	(22, 39.4679)	(23, 39.4375)	(24, 39.2955)	(25, 39.2906)	(26, 39.2917)	(27, 39.2966)	(28, 39.2058)	(29, 39.165)	(30, 39.0845)	(31, 39.0037)	(32, 38.9319)	(33, 38.9169)	(34, 38.7216)	(35, 38.6748)	(36, 38.6621)	(37, 38.6024)	(38, 38.4493)	(39, 38.4067)	(40, 38.2238)	(41, 38.082)	(42, 38.0229)	(43, 37.8821)	(44, 37.7619)	(45, 37.5786)	(46, 37.4262)	(47, 37.2706)	(48, 37.1243)	(49, 36.6819)	(50, 36.5937)	(51, 36.4688)	(52, 36.3541)	(53, 36.1214)	(54, 35.8939)	(55, 35.6578)	(56, 35.4765)	(57, 35.2197)	(58, 34.9958)	(59, 34.8601)	(60, 34.6181)	(61, 34.3343)	(62, 34.0399)	(63, 32.0597)
SRR1039513	(1, 37.9097)	(2, 39.3661)	(3, 39.2522)	(4, 39.1915)	(5, 39.324)	(6, 39.2856)	(7, 39.3424)	(8, 39.2988)	(9, 39.3062)	(10, 39.1426)	(11, 39.1288)	(12, 39.1761)	(13, 39.2118)	(14, 39.15)	(15, 39.1333)	(16, 39.0786)	(17, 39.0048)	(18, 38.9589)	(19, 38.787)	(20, 38.9423)	(21, 38.9475)	(22, 38.9622)	(23, 38.9351)	(24, 38.8515)	(25, 38.8995)	(26, 38.8707)	(27, 38.78)	(28, 38.6643)	(29, 38.6815)	(30, 38.6198)	(31, 38.5187)	(32, 38.5439)	(33, 38.526)	(34, 38.243)	(35, 38.2897)	(36, 38.2102)	(37, 37.8938)	(38, 37.9898)	(39, 38.0095)	(40, 37.8017)	(41, 37.5619)	(42, 37.4875)	(43, 37.5479)	(44, 37.4836)	(45, 37.2626)	(46, 36.8582)	(47, 36.8256)	(48, 36.71)	(49, 36.1314)	(50, 35.9311)	(51, 35.8638)	(52, 35.8499)	(53, 35.7771)	(54, 35.5905)	(55, 35.3833)	(56, 35.006)	(57, 34.6769)	(58, 34.5474)	(59, 34.3379)	(60, 34.0056)	(61, 33.6895)	(62, 33.4787)	(63, 31.7059)
SRR1039516	(1, 37.7835)	(2, 39.3612)	(3, 39.3534)	(4, 39.3085)	(5, 39.3679)	(6, 39.3958)	(7, 39.4339)	(8, 39.4016)	(9, 39.3369)	(10, 39.3311)	(11, 39.2778)	(12, 39.0402)	(13, 39.158)	(14, 39.2052)	(15, 39.1647)	(16, 39.1309)	(17, 39.0863)	(18, 39.0483)	(19, 38.9755)	(20, 39.0773)	(21, 39.0864)	(22, 39.0393)	(23, 39.0193)	(24, 38.8134)	(25, 38.8797)	(26, 38.9639)	(27, 38.9233)	(28, 38.8434)	(29, 38.8114)	(30, 38.765)	(31, 38.4947)	(32, 38.5213)	(33, 38.5211)	(34, 38.4293)	(35, 38.3412)	(36, 38.2854)	(37, 38.1185)	(38, 38.0016)	(39, 37.9117)	(40, 37.8238)	(41, 37.7085)	(42, 37.6041)	(43, 37.4851)	(44, 37.3863)	(45, 37.1139)	(46, 36.8443)	(47, 36.6522)	(48, 36.3808)	(49, 36.1813)	(50, 36.0348)	(51, 35.8319)	(52, 35.5103)	(53, 35.1768)	(54, 35.2356)	(55, 34.8532)	(56, 34.7001)	(57, 34.5923)	(58, 34.4336)	(59, 34.1316)	(60, 33.8357)	(61, 33.3747)	(62, 33.2735)	(63, 31.5354)
SRR1039517	(1, 37.7094)	(2, 39.2408)	(3, 39.2606)	(4, 39.2108)	(5, 39.2859)	(6, 39.3018)	(7, 39.3368)	(8, 39.3036)	(9, 39.2266)	(10, 39.2244)	(11, 39.1629)	(12, 38.9545)	(13, 39.0635)	(14, 39.0938)	(15, 39.0363)	(16, 39.0055)	(17, 38.953)	(18, 38.9165)	(19, 38.8351)	(20, 38.9431)	(21, 38.9699)	(22, 38.9279)	(23, 38.902)	(24, 38.6595)	(25, 38.7325)	(26, 38.8113)	(27, 38.7749)	(28, 38.6905)	(29, 38.6376)	(30, 38.5872)	(31, 38.3362)	(32, 38.3465)	(33, 38.3541)	(34, 38.2792)	(35, 38.1939)	(36, 38.1311)	(37, 37.9654)	(38, 37.8614)	(39, 37.7655)	(40, 37.6792)	(41, 37.5724)	(42, 37.4623)	(43, 37.3375)	(44, 37.2132)	(45, 36.9362)	(46, 36.655)	(47, 36.4254)	(48, 36.1945)	(49, 36.0013)	(50, 35.8544)	(51, 35.6627)	(52, 35.3578)	(53, 35.0304)	(54, 35.0406)	(55, 34.7057)	(56, 34.5535)	(57, 34.3673)	(58, 34.227)	(59, 33.9511)	(60, 33.6656)	(61, 33.2201)	(62, 33.1044)	(63, 31.3044)
SRR1039520	(1, 37.8973)	(2, 39.3531)	(3, 39.2841)	(4, 39.2575)	(5, 39.351)	(6, 39.2905)	(7, 39.2753)	(8, 39.2817)	(9, 39.2793)	(10, 39.1607)	(11, 39.0968)	(12, 39.1753)	(13, 39.1907)	(14, 39.1386)	(15, 39.0944)	(16, 39.0329)	(17, 38.9353)	(18, 38.9106)	(19, 38.7967)	(20, 38.902)	(21, 38.9179)	(22, 38.9025)	(23, 38.9084)	(24, 38.8434)	(25, 38.8783)	(26, 38.8426)	(27, 38.7658)	(28, 38.6554)	(29, 38.6521)	(30, 38.5145)	(31, 38.394)	(32, 38.3754)	(33, 38.4338)	(34, 38.1586)	(35, 38.1938)	(36, 38.1405)	(37, 37.8439)	(38, 37.9072)	(39, 37.9055)	(40, 37.7226)	(41, 37.5137)	(42, 37.4221)	(43, 37.3742)	(44, 37.3472)	(45, 37.1501)	(46, 36.8322)	(47, 36.7383)	(48, 36.592)	(49, 36.1579)	(50, 35.8326)	(51, 35.6808)	(52, 35.7221)	(53, 35.6769)	(54, 35.4576)	(55, 35.2111)	(56, 34.8847)	(57, 34.5699)	(58, 34.4059)	(59, 34.2018)	(60, 33.8997)	(61, 33.5731)	(62, 33.3532)	(63, 31.6159)
SRR1039521	(1, 37.8733)	(2, 39.3486)	(3, 39.2785)	(4, 39.2269)	(5, 39.3201)	(6, 39.246)	(7, 39.2195)	(8, 39.2331)	(9, 39.2539)	(10, 39.1196)	(11, 39.0506)	(12, 39.1258)	(13, 39.1533)	(14, 39.0911)	(15, 39.0396)	(16, 38.9911)	(17, 38.9133)	(18, 38.8709)	(19, 38.74)	(20, 38.8511)	(21, 38.8686)	(22, 38.8558)	(23, 38.8483)	(24, 38.7679)	(25, 38.8069)	(26, 38.7671)	(27, 38.6834)	(28, 38.567)	(29, 38.598)	(30, 38.444)	(31, 38.3099)	(32, 38.2915)	(33, 38.3676)	(34, 38.0799)	(35, 38.1199)	(36, 38.0891)	(37, 37.7745)	(38, 37.8579)	(39, 37.8621)	(40, 37.6739)	(41, 37.457)	(42, 37.3775)	(43, 37.3385)	(44, 37.3146)	(45, 37.1148)	(46, 36.7923)	(47, 36.7082)	(48, 36.5771)	(49, 36.1262)	(50, 35.7756)	(51, 35.6244)	(52, 35.6888)	(53, 35.6506)	(54, 35.4481)	(55, 35.2063)	(56, 34.8561)	(57, 34.5329)	(58, 34.3537)	(59, 34.1432)	(60, 33.8227)	(61, 33.4794)	(62, 33.26)	(63, 31.494)
