Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 38.2944)	(2, 39.9665)	(3, 40.018)	(4, 40.0443)	(5, 40.063)	(6, 40.0498)	(7, 40.1048)	(8, 40.0028)	(9, 40.0229)	(10, 39.9424)	(11, 39.7358)	(12, 39.7673)	(13, 39.818)	(14, 39.6867)	(15, 39.5457)	(16, 39.3828)	(17, 39.239)	(18, 39.0972)	(19, 38.9726)	(20, 39.0194)	(21, 39.0295)	(22, 38.9926)	(23, 38.88)	(24, 38.8878)	(25, 38.9686)	(26, 39.0561)	(27, 38.9347)	(28, 38.9747)	(29, 38.9824)	(30, 38.9361)	(31, 38.8766)	(32, 38.6428)	(33, 38.6038)	(34, 38.4503)	(35, 38.4657)	(36, 38.2991)	(37, 38.2732)	(38, 38.3954)	(39, 38.4091)	(40, 38.3493)	(41, 38.2945)	(42, 38.0959)	(43, 38.0406)	(44, 37.9497)	(45, 37.8323)	(46, 37.7418)	(47, 37.5575)	(48, 37.3427)	(49, 37.2277)	(50, 37.1335)	(51, 36.9955)	(52, 36.7374)	(53, 36.6187)	(54, 36.3886)	(55, 36.2173)	(56, 36.0748)	(57, 35.8767)	(58, 35.6898)	(59, 35.4634)	(60, 35.1155)	(61, 34.8971)	(62, 34.688)	(63, 33.8687)
SRR1039509	(1, 38.2825)	(2, 39.9524)	(3, 40.0049)	(4, 40.0331)	(5, 40.0544)	(6, 40.0326)	(7, 40.0927)	(8, 39.9927)	(9, 40.0084)	(10, 39.9118)	(11, 39.724)	(12, 39.7406)	(13, 39.7832)	(14, 39.6491)	(15, 39.5043)	(16, 39.3533)	(17, 39.2217)	(18, 39.0432)	(19, 38.9355)	(20, 38.97)	(21, 38.9917)	(22, 38.9565)	(23, 38.8418)	(24, 38.8545)	(25, 38.9465)	(26, 39.034)	(27, 38.9032)	(28, 38.9488)	(29, 38.9135)	(30, 38.8391)	(31, 38.8094)	(32, 38.6003)	(33, 38.5578)	(34, 38.3922)	(35, 38.4145)	(36, 38.249)	(37, 38.2257)	(38, 38.3518)	(39, 38.368)	(40, 38.3054)	(41, 38.2245)	(42, 38.0451)	(43, 37.9946)	(44, 37.9096)	(45, 37.7887)	(46, 37.7019)	(47, 37.5098)	(48, 37.3021)	(49, 37.1868)	(50, 37.09)	(51, 36.923)	(52, 36.6435)	(53, 36.5253)	(54, 36.3052)	(55, 36.1129)	(56, 35.955)	(57, 35.7461)	(58, 35.5411)	(59, 35.3024)	(60, 34.9407)	(61, 34.679)	(62, 34.4385)	(63, 33.6222)
SRR1039512	(1, 38.0948)	(2, 39.67)	(3, 39.5619)	(4, 39.5461)	(5, 39.6486)	(6, 39.6057)	(7, 39.5885)	(8, 39.5124)	(9, 39.5165)	(10, 39.3229)	(11, 39.382)	(12, 39.4562)	(13, 39.4581)	(14, 39.4067)	(15, 39.3229)	(16, 39.1946)	(17, 39.1485)	(18, 39.1231)	(19, 39.0517)	(20, 39.1127)	(21, 39.1226)	(22, 39.1507)	(23, 39.106)	(24, 38.95)	(25, 38.931)	(26, 38.9191)	(27, 38.9118)	(28, 38.8053)	(29, 38.7509)	(30, 38.6566)	(31, 38.5592)	(32, 38.472)	(33, 38.4455)	(34, 38.2358)	(35, 38.1726)	(36, 38.1431)	(37, 38.0702)	(38, 37.8997)	(39, 37.8462)	(40, 37.6534)	(41, 37.5058)	(42, 37.4431)	(43, 37.3011)	(44, 37.179)	(45, 36.9964)	(46, 36.8421)	(47, 36.6821)	(48, 36.5347)	(49, 36.0914)	(50, 36.0001)	(51, 35.8716)	(52, 35.7548)	(53, 35.5222)	(54, 35.2934)	(55, 35.0561)	(56, 34.8666)	(57, 34.5978)	(58, 34.3648)	(59, 34.2231)	(60, 33.9781)	(61, 33.6934)	(62, 33.3976)	(63, 31.4519)
SRR1039513	(1, 37.7661)	(2, 39.199)	(3, 39.0794)	(4, 39.0128)	(5, 39.1424)	(6, 39.0887)	(7, 39.14)	(8, 39.0915)	(9, 39.0966)	(10, 38.9199)	(11, 38.897)	(12, 38.9292)	(13, 38.9557)	(14, 38.8592)	(15, 38.8222)	(16, 38.7475)	(17, 38.6568)	(18, 38.5939)	(19, 38.3981)	(20, 38.5464)	(21, 38.5359)	(22, 38.5369)	(23, 38.4944)	(24, 38.3922)	(25, 38.4281)	(26, 38.3849)	(27, 38.2754)	(28, 38.1421)	(29, 38.1449)	(30, 38.065)	(31, 37.9443)	(32, 37.9576)	(33, 37.9253)	(34, 37.6131)	(35, 37.6448)	(36, 37.5483)	(37, 37.2104)	(38, 37.2927)	(39, 37.2983)	(40, 37.0686)	(41, 36.8254)	(42, 36.7476)	(43, 36.8002)	(44, 36.7317)	(45, 36.5069)	(46, 36.1001)	(47, 36.0631)	(48, 35.9425)	(49, 35.3635)	(50, 35.163)	(51, 35.0889)	(52, 35.0701)	(53, 34.9915)	(54, 34.8029)	(55, 34.5932)	(56, 34.2089)	(57, 33.8606)	(58, 33.718)	(59, 33.4996)	(60, 33.1632)	(61, 32.8451)	(62, 32.6305)	(63, 30.8961)
SRR1039516	(1, 37.6475)	(2, 39.1986)	(3, 39.1897)	(4, 39.1413)	(5, 39.199)	(6, 39.2159)	(7, 39.2499)	(8, 39.2102)	(9, 39.1403)	(10, 39.1287)	(11, 39.0655)	(12, 38.8159)	(13, 38.921)	(14, 38.938)	(15, 38.8732)	(16, 38.8195)	(17, 38.7573)	(18, 38.7026)	(19, 38.6136)	(20, 38.7052)	(21, 38.6999)	(22, 38.6423)	(23, 38.6078)	(24, 38.3853)	(25, 38.4324)	(26, 38.5053)	(27, 38.4484)	(28, 38.3487)	(29, 38.2992)	(30, 38.2347)	(31, 37.9396)	(32, 37.9421)	(33, 37.9318)	(34, 37.824)	(35, 37.723)	(36, 37.6386)	(37, 37.4489)	(38, 37.3146)	(39, 37.208)	(40, 37.1069)	(41, 36.9877)	(42, 36.8742)	(43, 36.7453)	(44, 36.6435)	(45, 36.3714)	(46, 36.0965)	(47, 35.9011)	(48, 35.6272)	(49, 35.4217)	(50, 35.2747)	(51, 35.0673)	(52, 34.7454)	(53, 34.4057)	(54, 34.4538)	(55, 34.0763)	(56, 33.9126)	(57, 33.7917)	(58, 33.6231)	(59, 33.3171)	(60, 33.0099)	(61, 32.5475)	(62, 32.4404)	(63, 30.7427)
SRR1039517	(1, 37.5723)	(2, 39.076)	(3, 39.0946)	(4, 39.0408)	(5, 39.1136)	(6, 39.1196)	(7, 39.1485)	(8, 39.1061)	(9, 39.0232)	(10, 39.0152)	(11, 38.9429)	(12, 38.7198)	(13, 38.8152)	(14, 38.8123)	(15, 38.7292)	(16, 38.6783)	(17, 38.6082)	(18, 38.5547)	(19, 38.4552)	(20, 38.5516)	(21, 38.5635)	(22, 38.5099)	(23, 38.4688)	(24, 38.2094)	(25, 38.2632)	(26, 38.3297)	(27, 38.2752)	(28, 38.1706)	(29, 38.1002)	(30, 38.0312)	(31, 37.757)	(32, 37.7475)	(33, 37.7402)	(34, 37.6474)	(35, 37.5494)	(36, 37.4619)	(37, 37.2728)	(38, 37.1507)	(39, 37.038)	(40, 36.9378)	(41, 36.8251)	(42, 36.7071)	(43, 36.5769)	(44, 36.4464)	(45, 36.1691)	(46, 35.8821)	(47, 35.6516)	(48, 35.4181)	(49, 35.2206)	(50, 35.0719)	(51, 34.8754)	(52, 34.5682)	(53, 34.2407)	(54, 34.2462)	(55, 33.913)	(56, 33.747)	(57, 33.5477)	(58, 33.3999)	(59, 33.1231)	(60, 32.8334)	(61, 32.389)	(62, 32.269)	(63, 30.5108)
SRR1039520	(1, 37.7664)	(2, 39.1996)	(3, 39.1244)	(4, 39.0936)	(5, 39.1823)	(6, 39.1066)	(7, 39.0848)	(8, 39.0873)	(9, 39.0812)	(10, 38.9495)	(11, 38.8731)	(12, 38.9388)	(13, 38.9429)	(14, 38.8588)	(15, 38.7933)	(16, 38.7128)	(17, 38.597)	(18, 38.5552)	(19, 38.4196)	(20, 38.5146)	(21, 38.5164)	(22, 38.4859)	(23, 38.4772)	(24, 38.3935)	(25, 38.4145)	(26, 38.3623)	(27, 38.2655)	(28, 38.1389)	(29, 38.119)	(30, 37.9592)	(31, 37.8173)	(32, 37.7817)	(33, 37.8256)	(34, 37.5229)	(35, 37.5426)	(36, 37.4721)	(37, 37.151)	(38, 37.1983)	(39, 37.183)	(40, 36.9837)	(41, 36.767)	(42, 36.6695)	(43, 36.6147)	(44, 36.5855)	(45, 36.3847)	(46, 36.0649)	(47, 35.968)	(48, 35.8181)	(49, 35.3821)	(50, 35.0554)	(51, 34.8985)	(52, 34.9364)	(53, 34.8872)	(54, 34.6666)	(55, 34.4185)	(56, 34.087)	(57, 33.757)	(58, 33.5853)	(59, 33.3749)	(60, 33.0696)	(61, 32.742)	(62, 32.5186)	(63, 30.8186)
SRR1039521	(1, 37.7205)	(2, 39.1698)	(3, 39.0938)	(4, 39.0374)	(5, 39.1243)	(6, 39.0304)	(7, 38.9955)	(8, 39.0054)	(9, 39.0241)	(10, 38.8757)	(11, 38.7941)	(12, 38.8552)	(13, 38.8724)	(14, 38.7718)	(15, 38.6966)	(16, 38.6268)	(17, 38.5302)	(18, 38.4702)	(19, 38.3166)	(20, 38.4156)	(21, 38.4187)	(22, 38.39)	(23, 38.3678)	(24, 38.268)	(25, 38.292)	(26, 38.2361)	(27, 38.1314)	(28, 37.9981)	(29, 38.012)	(30, 37.8339)	(31, 37.6783)	(32, 37.6442)	(33, 37.707)	(34, 37.3908)	(35, 37.415)	(36, 37.3662)	(37, 37.0281)	(38, 37.097)	(39, 37.0868)	(40, 36.8787)	(41, 36.6551)	(42, 36.5716)	(43, 36.5254)	(44, 36.4985)	(45, 36.2959)	(46, 35.9719)	(47, 35.8844)	(48, 35.7489)	(49, 35.2951)	(50, 34.943)	(51, 34.7845)	(52, 34.8432)	(53, 34.7996)	(54, 34.5949)	(55, 34.3497)	(56, 33.9921)	(57, 33.6467)	(58, 33.4546)	(59, 33.2347)	(60, 32.9099)	(61, 32.5649)	(62, 32.3411)	(63, 30.6166)
