Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 48.0803)	(2, 49.2933)	(3, 50.6644)	(4, 51.0232)	(5, 50.7633)	(6, 50.6841)	(7, 50.7047)	(8, 50.3325)	(9, 45.9148)	(10, 50.386399999999995)	(11, 50.190400000000004)	(12, 49.670199999999994)	(13, 50.0998)	(14, 49.9677)	(15, 50.0248)	(16, 50.3337)	(17, 50.3928)	(18, 49.7588)	(19, 49.9477)	(20, 49.749700000000004)	(21, 49.4058)	(22, 50.2493)	(23, 49.9624)	(24, 49.863)	(25, 50.253400000000006)	(26, 50.084799999999994)	(27, 49.9561)	(28, 50.4495)	(29, 50.1504)	(30, 49.6834)	(31, 50.1625)	(32, 50.1127)	(33, 49.7851)	(34, 50.2482)	(35, 50.159)	(36, 50.0028)	(37, 50.376)	(38, 50.192099999999996)	(39, 49.6699)	(40, 49.9171)	(41, 49.825900000000004)	(42, 49.8015)	(43, 50.024100000000004)	(44, 49.7859)	(45, 49.5917)	(46, 49.938900000000004)	(47, 49.7476)	(48, 49.4959)	(49, 49.851)	(50, 49.6898)	(51, 49.3349)	(52, 49.809799999999996)	(53, 49.674600000000005)	(54, 49.447)	(55, 49.805899999999994)	(56, 49.6864)	(57, 49.4141)	(58, 49.825199999999995)	(59, 49.6934)	(60, 49.5783)	(61, 49.834)	(62, 49.738)	(63, 49.565599999999996)
SRR1039509	(1, 48.0627)	(2, 48.9099)	(3, 50.5653)	(4, 50.891299999999994)	(5, 50.340799999999994)	(6, 50.5178)	(7, 50.388)	(8, 49.9915)	(9, 45.8113)	(10, 50.32489999999999)	(11, 49.9985)	(12, 49.2014)	(13, 49.6242)	(14, 49.5692)	(15, 49.9544)	(16, 49.8676)	(17, 50.2579)	(18, 49.4314)	(19, 49.8816)	(20, 49.3712)	(21, 49.0681)	(22, 50.2374)	(23, 49.516799999999996)	(24, 49.452)	(25, 50.2181)	(26, 49.6469)	(27, 49.796099999999996)	(28, 50.3482)	(29, 49.9642)	(30, 49.2868)	(31, 50.11879999999999)	(32, 49.9832)	(33, 49.3253)	(34, 50.0946)	(35, 50.016000000000005)	(36, 49.885600000000004)	(37, 50.260099999999994)	(38, 50.0956)	(39, 49.1831)	(40, 49.5326)	(41, 49.3581)	(42, 49.6401)	(43, 49.5995)	(44, 49.3125)	(45, 49.1146)	(46, 49.5358)	(47, 49.2798)	(48, 49.0697)	(49, 49.4528)	(50, 49.256699999999995)	(51, 48.863299999999995)	(52, 49.3812)	(53, 49.2446)	(54, 48.9946)	(55, 49.3989)	(56, 49.3049)	(57, 49.0611)	(58, 49.4746)	(59, 49.259)	(60, 49.1324)	(61, 49.4468)	(62, 49.3133)	(63, 49.2232)
SRR1039512	(1, 47.408)	(2, 48.4838)	(3, 49.606)	(4, 50.293299999999995)	(5, 49.8956)	(6, 49.802600000000005)	(7, 50.287800000000004)	(8, 49.581199999999995)	(9, 49.5197)	(10, 49.823)	(11, 49.2299)	(12, 49.2081)	(13, 50.041199999999996)	(14, 49.399100000000004)	(15, 49.365500000000004)	(16, 50.0744)	(17, 49.5878)	(18, 49.497099999999996)	(19, 49.919200000000004)	(20, 49.4384)	(21, 49.2148)	(22, 50.0543)	(23, 49.3975)	(24, 49.4981)	(25, 49.9291)	(26, 49.3978)	(27, 49.2749)	(28, 50.0092)	(29, 49.2865)	(30, 49.266)	(31, 49.8722)	(32, 49.2265)	(33, 49.3951)	(34, 49.8921)	(35, 49.2475)	(36, 49.2639)	(37, 49.945499999999996)	(38, 49.3161)	(39, 49.3057)	(40, 49.7681)	(41, 49.283100000000005)	(42, 49.2511)	(43, 49.8469)	(44, 49.1854)	(45, 49.2981)	(46, 49.8442)	(47, 49.1968)	(48, 49.2393)	(49, 49.8377)	(50, 49.2145)	(51, 49.1445)	(52, 49.842)	(53, 49.326)	(54, 49.3091)	(55, 49.804500000000004)	(56, 49.304700000000004)	(57, 49.189699999999995)	(58, 49.8195)	(59, 49.3258)	(60, 49.2398)	(61, 49.8603)	(62, 49.3797)	(63, 49.4356)
SRR1039513	(1, 46.2853)	(2, 47.5293)	(3, 48.655)	(4, 49.2412)	(5, 48.984899999999996)	(6, 48.8087)	(7, 49.1973)	(8, 48.6639)	(9, 48.4095)	(10, 48.6432)	(11, 48.182399999999994)	(12, 48.1194)	(13, 48.7466)	(14, 48.3387)	(15, 48.2414)	(16, 48.851299999999995)	(17, 48.52)	(18, 48.3294)	(19, 48.586600000000004)	(20, 48.3193)	(21, 48.066900000000004)	(22, 48.819)	(23, 48.381600000000006)	(24, 48.3682)	(25, 48.701)	(26, 48.3523)	(27, 48.1894)	(28, 48.7584)	(29, 48.2061)	(30, 48.138999999999996)	(31, 48.5527)	(32, 48.2018)	(33, 48.2096)	(34, 48.6288)	(35, 48.199999999999996)	(36, 48.162)	(37, 48.7324)	(38, 48.3202)	(39, 48.18)	(40, 48.5953)	(41, 48.259600000000006)	(42, 48.1026)	(43, 48.603699999999996)	(44, 48.1621)	(45, 48.1693)	(46, 48.5891)	(47, 48.1819)	(48, 48.1168)	(49, 48.611599999999996)	(50, 48.1771)	(51, 47.9598)	(52, 48.5301)	(53, 48.201699999999995)	(54, 48.1244)	(55, 48.5083)	(56, 48.227199999999996)	(57, 48.0425)	(58, 48.5877)	(59, 48.22)	(60, 48.1245)	(61, 48.6076)	(62, 48.261900000000004)	(63, 48.247299999999996)
SRR1039516	(1, 47.199000000000005)	(2, 48.0622)	(3, 49.1203)	(4, 49.910199999999996)	(5, 49.526900000000005)	(6, 49.351)	(7, 49.9865)	(8, 49.1537)	(9, 49.1985)	(10, 49.6049)	(11, 49.1218)	(12, 48.9585)	(13, 49.723299999999995)	(14, 49.059799999999996)	(15, 49.0107)	(16, 49.8125)	(17, 49.168)	(18, 49.2543)	(19, 49.5555)	(20, 49.1593)	(21, 48.9359)	(22, 49.6782)	(23, 49.2115)	(24, 49.2222)	(25, 49.5897)	(26, 49.1536)	(27, 48.9966)	(28, 49.8159)	(29, 49.1203)	(30, 49.0722)	(31, 49.5678)	(32, 48.9729)	(33, 49.2689)	(34, 49.5878)	(35, 49.030699999999996)	(36, 49.064600000000006)	(37, 49.7511)	(38, 49.1633)	(39, 49.1255)	(40, 49.4537)	(41, 48.9698)	(42, 49.0502)	(43, 49.6817)	(44, 48.884699999999995)	(45, 49.0402)	(46, 49.538199999999996)	(47, 48.931799999999996)	(48, 48.9685)	(49, 49.575599999999994)	(50, 48.9319)	(51, 48.8699)	(52, 49.5853)	(53, 48.9808)	(54, 49.093599999999995)	(55, 49.534299999999995)	(56, 49.0296)	(57, 48.8864)	(58, 49.567899999999995)	(59, 49.087599999999995)	(60, 49.0101)	(61, 49.548500000000004)	(62, 49.1203)	(63, 49.3196)
SRR1039517	(1, 47.3358)	(2, 48.473699999999994)	(3, 49.51)	(4, 50.175599999999996)	(5, 49.8276)	(6, 49.6721)	(7, 50.1715)	(8, 49.5372)	(9, 49.4175)	(10, 49.7012)	(11, 49.3258)	(12, 49.095)	(13, 49.8851)	(14, 49.3454)	(15, 49.2145)	(16, 49.9415)	(17, 49.4724)	(18, 49.3549)	(19, 49.7536)	(20, 49.3254)	(21, 49.0931)	(22, 49.8997)	(23, 49.3532)	(24, 49.3712)	(25, 49.8049)	(26, 49.3599)	(27, 49.186)	(28, 49.872)	(29, 49.2635)	(30, 49.146699999999996)	(31, 49.7341)	(32, 49.1821)	(33, 49.3186)	(34, 49.744699999999995)	(35, 49.2053)	(36, 49.1635)	(37, 49.816700000000004)	(38, 49.356100000000005)	(39, 49.1986)	(40, 49.675599999999996)	(41, 49.2549)	(42, 49.1824)	(43, 49.7211)	(44, 49.1698)	(45, 49.2111)	(46, 49.728)	(47, 49.1691)	(48, 49.1404)	(49, 49.7532)	(50, 49.2062)	(51, 49.034499999999994)	(52, 49.750299999999996)	(53, 49.250699999999995)	(54, 49.2306)	(55, 49.6577)	(56, 49.275000000000006)	(57, 49.079)	(58, 49.724000000000004)	(59, 49.2628)	(60, 49.1514)	(61, 49.7417)	(62, 49.270599999999995)	(63, 49.4286)
SRR1039520	(1, 47.0939)	(2, 48.4354)	(3, 49.452)	(4, 50.0093)	(5, 49.762699999999995)	(6, 49.6141)	(7, 49.9905)	(8, 49.5214)	(9, 49.309799999999996)	(10, 49.5768)	(11, 49.2185)	(12, 49.086999999999996)	(13, 49.8262)	(14, 49.451)	(15, 49.2916)	(16, 49.8334)	(17, 49.5975)	(18, 49.2855)	(19, 49.609700000000004)	(20, 49.3331)	(21, 49.0131)	(22, 49.741600000000005)	(23, 49.2952)	(24, 49.260999999999996)	(25, 49.576)	(26, 49.2587)	(27, 49.0544)	(28, 49.6499)	(29, 49.1514)	(30, 49.034800000000004)	(31, 49.501400000000004)	(32, 49.1633)	(33, 49.1629)	(34, 49.553999999999995)	(35, 49.152699999999996)	(36, 49.0388)	(37, 49.5901)	(38, 49.246)	(39, 49.0859)	(40, 49.5038)	(41, 49.1722)	(42, 49.0188)	(43, 49.5193)	(44, 49.086999999999996)	(45, 49.1318)	(46, 49.5381)	(47, 49.1386)	(48, 49.071999999999996)	(49, 49.5471)	(50, 49.1253)	(51, 48.969)	(52, 49.579699999999995)	(53, 49.277)	(54, 49.1015)	(55, 49.5199)	(56, 49.176500000000004)	(57, 48.9919)	(58, 49.5556)	(59, 49.2167)	(60, 49.0437)	(61, 49.5672)	(62, 49.274)	(63, 49.2558)
SRR1039521	(1, 46.8634)	(2, 48.2866)	(3, 49.255900000000004)	(4, 49.873)	(5, 49.6331)	(6, 49.469)	(7, 49.871300000000005)	(8, 49.4013)	(9, 49.192)	(10, 49.4626)	(11, 49.135600000000004)	(12, 49.001400000000004)	(13, 49.7556)	(14, 49.3652)	(15, 49.2081)	(16, 49.7649)	(17, 49.424600000000005)	(18, 49.1872)	(19, 49.527100000000004)	(20, 49.253)	(21, 48.915)	(22, 49.6197)	(23, 49.1309)	(24, 49.024699999999996)	(25, 49.391600000000004)	(26, 49.0623)	(27, 48.8275)	(28, 49.446600000000004)	(29, 48.9535)	(30, 48.8099)	(31, 49.3342)	(32, 48.9835)	(33, 48.9694)	(34, 49.4114)	(35, 48.9703)	(36, 48.8512)	(37, 49.4099)	(38, 49.0676)	(39, 48.901)	(40, 49.3742)	(41, 49.0306)	(42, 48.8653)	(43, 49.3628)	(44, 48.929899999999996)	(45, 48.9629)	(46, 49.379)	(47, 48.9904)	(48, 48.9154)	(49, 49.4048)	(50, 48.9718)	(51, 48.8)	(52, 49.464000000000006)	(53, 49.1436)	(54, 48.9597)	(55, 49.3889)	(56, 49.039100000000005)	(57, 48.797000000000004)	(58, 49.3623)	(59, 49.0274)	(60, 48.823499999999996)	(61, 49.3809)	(62, 49.0985)	(63, 49.0625)
