Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508	(1, 38.2066)	(2, 39.8588)	(3, 39.7877)	(4, 39.8586)	(5, 39.8042)	(6, 39.7793)	(7, 39.7607)	(8, 39.7275)	(9, 34.1047)	(10, 36.0714)	(11, 38.2041)	(12, 39.0378)	(13, 39.271)	(14, 39.372)	(15, 39.3948)	(16, 39.4779)	(17, 39.4303)	(18, 39.3082)	(19, 39.3232)	(20, 39.1959)	(21, 39.3798)	(22, 39.4065)	(23, 39.4125)	(24, 39.2351)	(25, 39.2815)	(26, 39.258)	(27, 39.1988)	(28, 39.1225)	(29, 39.0989)	(30, 38.9773)	(31, 38.9221)	(32, 38.8949)	(33, 38.9041)	(34, 38.9395)	(35, 38.9228)	(36, 38.8533)	(37, 38.7951)	(38, 38.697)	(39, 37.0648)	(40, 37.7099)	(41, 38.0554)	(42, 38.209)	(43, 38.1712)	(44, 38.0415)	(45, 37.9381)	(46, 37.7724)	(47, 37.6184)	(48, 37.3767)	(49, 37.2035)	(50, 37.016)	(51, 36.8477)	(52, 36.656)	(53, 36.304)	(54, 36.1272)	(55, 35.9296)	(56, 35.7312)	(57, 35.5022)	(58, 35.2475)	(59, 35.2469)	(60, 35.0297)	(61, 34.9245)	(62, 34.6544)	(63, 33.8696)
SRR1039509	(1, 37.7306)	(2, 39.2669)	(3, 39.2097)	(4, 39.2762)	(5, 39.2066)	(6, 39.2052)	(7, 39.1143)	(8, 39.0931)	(9, 33.6467)	(10, 35.6393)	(11, 37.7252)	(12, 38.4413)	(13, 38.6669)	(14, 38.8211)	(15, 38.8147)	(16, 38.9128)	(17, 38.8164)	(18, 38.6387)	(19, 38.6859)	(20, 38.6129)	(21, 38.7766)	(22, 38.8339)	(23, 38.789)	(24, 38.647)	(25, 38.7049)	(26, 38.6504)	(27, 38.6614)	(28, 38.5397)	(29, 38.6367)	(30, 38.4777)	(31, 38.4358)	(32, 38.4078)	(33, 38.3737)	(34, 38.436)	(35, 38.4035)	(36, 38.3712)	(37, 38.3738)	(38, 38.2364)	(39, 36.6266)	(40, 37.22)	(41, 37.5816)	(42, 37.7551)	(43, 37.7121)	(44, 37.5816)	(45, 37.4578)	(46, 37.2973)	(47, 37.1659)	(48, 36.9458)	(49, 36.81)	(50, 36.6363)	(51, 36.4526)	(52, 36.2718)	(53, 35.9157)	(54, 35.7112)	(55, 35.5001)	(56, 35.3029)	(57, 35.0832)	(58, 34.8334)	(59, 34.8342)	(60, 34.612)	(61, 34.5114)	(62, 34.2478)	(63, 33.4493)
SRR1039512	(1, 37.9519)	(2, 39.4899)	(3, 39.4592)	(4, 39.4576)	(5, 39.4277)	(6, 39.3883)	(7, 39.3811)	(8, 39.3043)	(9, 39.2476)	(10, 39.1406)	(11, 39.0718)	(12, 39.0448)	(13, 38.9463)	(14, 38.9153)	(15, 38.6524)	(16, 38.8656)	(17, 38.8379)	(18, 38.7896)	(19, 38.7717)	(20, 38.7127)	(21, 38.8334)	(22, 38.8227)	(23, 38.8584)	(24, 38.8122)	(25, 38.769)	(26, 38.6973)	(27, 38.6159)	(28, 38.5927)	(29, 38.5017)	(30, 38.4204)	(31, 38.3951)	(32, 38.2989)	(33, 38.1775)	(34, 38.1089)	(35, 38.0095)	(36, 37.8479)	(37, 37.7398)	(38, 37.6337)	(39, 35.8265)	(40, 36.5023)	(41, 36.8575)	(42, 37.1259)	(43, 37.1248)	(44, 37.101)	(45, 36.9454)	(46, 36.8525)	(47, 36.672)	(48, 36.5028)	(49, 36.3335)	(50, 36.1905)	(51, 35.9754)	(52, 35.7948)	(53, 35.5768)	(54, 35.4064)	(55, 35.2069)	(56, 35.0208)	(57, 34.7882)	(58, 34.5247)	(59, 34.3455)	(60, 34.1309)	(61, 33.8259)	(62, 33.6054)	(63, 32.1065)
SRR1039513	(1, 37.4386)	(2, 38.7419)	(3, 38.8291)	(4, 38.7937)	(5, 38.7508)	(6, 38.7252)	(7, 38.7033)	(8, 38.6314)	(9, 38.5868)	(10, 38.3803)	(11, 38.3013)	(12, 38.2283)	(13, 38.2789)	(14, 38.0239)	(15, 37.9937)	(16, 38.159)	(17, 38.1236)	(18, 38.0129)	(19, 38.0168)	(20, 37.8949)	(21, 38.0805)	(22, 37.8548)	(23, 38.0259)	(24, 37.9421)	(25, 37.8101)	(26, 37.836)	(27, 37.8272)	(28, 37.8353)	(29, 37.6411)	(30, 37.5561)	(31, 37.5179)	(32, 37.4909)	(33, 37.4278)	(34, 37.3386)	(35, 37.234)	(36, 37.0528)	(37, 36.9945)	(38, 36.8383)	(39, 34.9889)	(40, 35.6638)	(41, 36.1718)	(42, 36.3739)	(43, 36.2932)	(44, 36.176)	(45, 36.1189)	(46, 35.9515)	(47, 35.8494)	(48, 35.7262)	(49, 35.5437)	(50, 35.4203)	(51, 35.2118)	(52, 35.0986)	(53, 34.7135)	(54, 34.4596)	(55, 34.3335)	(56, 34.19)	(57, 33.8961)	(58, 33.6427)	(59, 33.4449)	(60, 33.1338)	(61, 32.7518)	(62, 32.3651)	(63, 30.9456)
SRR1039516	(1, 37.5069)	(2, 38.9401)	(3, 38.9128)	(4, 38.8578)	(5, 38.8564)	(6, 38.8108)	(7, 38.7801)	(8, 38.6628)	(9, 38.4903)	(10, 38.5717)	(11, 38.2863)	(12, 38.3629)	(13, 38.1817)	(14, 38.1446)	(15, 38.1092)	(16, 38.1285)	(17, 38.0865)	(18, 38.0835)	(19, 38.0347)	(20, 37.984)	(21, 38.1851)	(22, 38.1136)	(23, 38.1803)	(24, 38.0782)	(25, 37.9898)	(26, 38.0328)	(27, 37.9853)	(28, 37.844)	(29, 37.7836)	(30, 37.7424)	(31, 37.6516)	(32, 37.5509)	(33, 37.3647)	(34, 37.3119)	(35, 37.2068)	(36, 37.0686)	(37, 37.0013)	(38, 36.6711)	(39, 34.933)	(40, 35.7655)	(41, 36.2307)	(42, 36.3772)	(43, 36.314)	(44, 36.1852)	(45, 36.1299)	(46, 36.0614)	(47, 35.9397)	(48, 35.758)	(49, 35.438)	(50, 35.3369)	(51, 35.14)	(52, 34.9343)	(53, 34.8479)	(54, 34.5958)	(55, 34.3004)	(56, 34.1361)	(57, 33.8898)	(58, 33.6523)	(59, 32.9892)	(60, 32.9119)	(61, 32.757)	(62, 32.4848)	(63, 30.9759)
SRR1039517	(1, 37.5701)	(2, 38.9949)	(3, 38.973)	(4, 38.9186)	(5, 38.9101)	(6, 38.8622)	(7, 38.8377)	(8, 38.7219)	(9, 38.5479)	(10, 38.6112)	(11, 38.3194)	(12, 38.4039)	(13, 38.2432)	(14, 38.2034)	(15, 38.1702)	(16, 38.1869)	(17, 38.1503)	(18, 38.1416)	(19, 38.0927)	(20, 38.03)	(21, 38.2329)	(22, 38.1567)	(23, 38.2106)	(24, 38.1094)	(25, 38.0302)	(26, 38.065)	(27, 38.0038)	(28, 37.8702)	(29, 37.7962)	(30, 37.7682)	(31, 37.6688)	(32, 37.5575)	(33, 37.3843)	(34, 37.3329)	(35, 37.2224)	(36, 37.069)	(37, 37.0015)	(38, 36.6664)	(39, 34.9388)	(40, 35.7716)	(41, 36.222)	(42, 36.3689)	(43, 36.3136)	(44, 36.1881)	(45, 36.1302)	(46, 36.0634)	(47, 35.9465)	(48, 35.7616)	(49, 35.4551)	(50, 35.3448)	(51, 35.1407)	(52, 34.9398)	(53, 34.8591)	(54, 34.6165)	(55, 34.3246)	(56, 34.1595)	(57, 33.9081)	(58, 33.6757)	(59, 33.0445)	(60, 32.9465)	(61, 32.7778)	(62, 32.5047)	(63, 30.9778)
SRR1039520	(1, 37.5355)	(2, 38.8977)	(3, 38.9066)	(4, 38.9064)	(5, 38.8682)	(6, 38.8437)	(7, 38.8274)	(8, 38.7441)	(9, 38.6137)	(10, 38.4931)	(11, 38.3085)	(12, 38.3151)	(13, 38.2587)	(14, 38.1223)	(15, 38.1155)	(16, 38.228)	(17, 38.1958)	(18, 38.1081)	(19, 38.1076)	(20, 37.9719)	(21, 38.1364)	(22, 37.9988)	(23, 38.123)	(24, 38.0336)	(25, 37.9444)	(26, 37.9287)	(27, 37.8508)	(28, 37.8794)	(29, 37.7246)	(30, 37.6444)	(31, 37.5699)	(32, 37.542)	(33, 37.42)	(34, 37.3048)	(35, 37.215)	(36, 37.0316)	(37, 36.9916)	(38, 36.8482)	(39, 34.9888)	(40, 35.6194)	(41, 36.1502)	(42, 36.3361)	(43, 36.2232)	(44, 36.1661)	(45, 36.0616)	(46, 35.9173)	(47, 35.8182)	(48, 35.671)	(49, 35.4986)	(50, 35.3423)	(51, 35.081)	(52, 34.9868)	(53, 34.6955)	(54, 34.4534)	(55, 34.2172)	(56, 34.1213)	(57, 33.8544)	(58, 33.6107)	(59, 33.3716)	(60, 33.1111)	(61, 32.7813)	(62, 32.4536)	(63, 31.0626)
SRR1039521	(1, 37.3961)	(2, 38.7519)	(3, 38.7828)	(4, 38.7666)	(5, 38.7316)	(6, 38.708)	(7, 38.6904)	(8, 38.6099)	(9, 38.4749)	(10, 38.3542)	(11, 38.1781)	(12, 38.1753)	(13, 38.1193)	(14, 37.9705)	(15, 37.9706)	(16, 38.1065)	(17, 38.0614)	(18, 37.9677)	(19, 37.9702)	(20, 37.8319)	(21, 38.0121)	(22, 37.8537)	(23, 37.9794)	(24, 37.8845)	(25, 37.7776)	(26, 37.7678)	(27, 37.6919)	(28, 37.7306)	(29, 37.5718)	(30, 37.4945)	(31, 37.4301)	(32, 37.3964)	(33, 37.2698)	(34, 37.153)	(35, 37.0643)	(36, 36.8919)	(37, 36.8523)	(38, 36.712)	(39, 34.8545)	(40, 35.4701)	(41, 36.0053)	(42, 36.1916)	(43, 36.0773)	(44, 36.0161)	(45, 35.9062)	(46, 35.7663)	(47, 35.6767)	(48, 35.5286)	(49, 35.3583)	(50, 35.1997)	(51, 34.9384)	(52, 34.8551)	(53, 34.5633)	(54, 34.3159)	(55, 34.0762)	(56, 33.9845)	(57, 33.7161)	(58, 33.4679)	(59, 33.2274)	(60, 32.9648)	(61, 32.6329)	(62, 32.2964)	(63, 30.8923)
